rid,eu_name,authorid,match_type,host_id,source,n_papers,cn_name,field_text,inst_text,year,gold_authorid
593,张友金,A5076963789,exact,I99065089,round4_semtie,156,张友金,数学物理,清华大学,2000,A5076963789
594,张维迎,A5101559179,exact,I20231570,round4_maxpapers,217,张维迎,管理科学基础理论研究,北京大学,2000,A5101559179
595,张天真,A5060498425,exact,I119454577,round4_semtie,389,张天真,作物遗传育种学,南京农业大学,2000,A5060498425
596,张树义,A5100602365,exact,I4210167311,round3_semantic,485,张树义,动物学,中国科学院动物研究所,2000,A5100602365
597,张荣,A5100451807,exact,I881766915,round4_semtie,293,张荣,化合物半导体材料,南京大学,2000,A5100451797
598,张勤,A5100418221,exact,I52158045,round4_semtie,445,张勤,遗传育种学,中国农业大学,2000,A5100418240
599,张其锦,A5063604580,exact,I126520041,round4_maxpapers,342,张其锦,功能高分子材料,中国科学技术大学,2000,A5063604580
600,张健,A5100409987,exact,I173759888,round4_semtie,1411,张健,生物化学和分子生物学,湖南师范大学,2000,A5100410082
601,张德兴,A5103248859,exact,I4210167311,round4_semtie,71,张德兴,生态学,中国科学院动物研究所,2000,A5086102217
602,张爱民,A5104014379,exact,I4210124606,round3_semantic,74,张爱民,作物遗传育种学,中国科学院遗传与发育生物学研究所,2000,A5100656435
603,岳建民,A5040928944,exact,I4210112820,round4_maxpapers,621,岳建民,药物化学(含天然药物化学),中国科学院上海药物研究所,2000,A5040928944
604,袁建民,A5011370947,exact,I170215575,round4_semtie,307,袁建民,原子和分子物理,中国人民解放军国防科技大学,2000,A5081606775
605,虞跃,A5000295734,exact,I4210125404,round4_maxpapers,176,虞跃,电子态,中国科学院理论物理研究所,2000,A5100397981
606,俞志明,A5066652497,exact,I4210101167,round4_maxpapers,357,俞志明,海洋环境科学(含与海洋有关的全球变化研究等),中国科学院海洋研究所,2000,A5066652497
607,俞大鹏,A5101581129,exact,I20231570,round4_maxpapers,570,俞大鹏,无机非金属材料学科,北京大学,2000,A5101581129
608,余锡平,A5011184571,exact,I99065089,round4_maxpapers,167,余锡平,河流、海岸动力学及泥沙研究,清华大学,2000,A5011184571
609,印林生,A5100810058,exact,I99065089,round2_inst,25,印林生,代数数论,清华大学,2000,A5100810058
610,阴正勤,A5100650797,exact,I151075929,round4_maxpapers,153,阴正勤,感觉系统神经生物学,中国人民解放军第三军医大学,2000,A5112697713
611,叶凯,A5032548139,exact,I4210126061,round4_maxpapers,410,叶凯,岩石学,中国科学院地质与地球物理研究所,2000,A5032548139
612,姚一建,A5033360891,exact,I4210134982,round4_maxpapers,91,姚一建,微生物学,中国科学院微生物研究所,2000,A5033360891
613,杨晓明,A5075371771,exact,,round4_semtie,192,杨晓明,病理生理学,中国人民解放军军事科学院军事医学研究院,2000,A5075371771
614,杨晓,A5101972163,exact,,round4_semtie,411,杨晓,分子遗传学,中国人民解放军军事科学院军事医学研究院,2000,A5101972163
615,杨万泰,A5067543084,exact,I75390827,round4_semtie,735,杨万泰,高分子化学,北京化工大学,2000,A5067543084
616,杨金龙,A5100458442,exact,I126520041,round4_maxpapers,1105,杨金龙,分子动态学,中国科学技术大学,2000,A5100458442
617,杨华中,A5023755254,exact,I99065089,round4_semtie,809,杨华中,电路与系统,清华大学,2000,A5023755254
618,杨凤堂,A5008181388,exact,I18489884,round4_semtie,407,杨凤堂,细胞遗传学,中国科学院昆明动物研究所,2000,A5008181388
619,严秀平,A5090486781,exact,I205237279,round4_maxpapers,676,严秀平,分析化学,南开大学,2000,A5090486781
620,闫东航,A5100642672,exact,I4210092888,round4_maxpapers,212,闫东航,高分子化学,中国科学院长春应用化学研究所,2000,A5100642672
621,许并社,A5061618421,exact,I9086337,round4_maxpapers,544,许并社,金属功能材料(不包括信息、光电子、光学和半导体材料),太原理工大学,2000,A5061618421
622,徐现刚,A5032482570,exact,I154099455,round4_maxpapers,349,徐现刚,半导体异质结构(包括SOI、SOS材料),山东大学,2000,A5032482570
623,徐涛,A5024998766,exact,I47720641,round4_semtie,356,徐涛,细胞生物学及发育生物学,华中科技大学,2000,A5100385891
624,夏延致,A5043027428,exact,I108688024,round4_semtie,360,夏延致,塑料、橡胶、纤维,青岛大学,2000,A5043027428
625,夏国良,A5025006462,exact,I52158045,round4_maxpapers,272,夏国良,畜牧、兽医学,中国农业大学,2000,A5025006462
626,伍贻康,A5030057165,exact,I4210112946,round4_semtie,315,伍贻康,有机化学,中国科学院上海有机化学研究所,2000,A5030057165
627,吴子牛,A5002733135,exact,I99065089,round4_maxpapers,137,吴子牛,计算流体力学,清华大学,2000,A5002733135
628,吴冲锋,A5008379630,exact,I183067930,round3_semantic,181,吴冲锋,金融工程,上海交通大学,2000,A5008379630
629,王友德,A5046980306,exact,I4210120485,round4_semtie,134,王友德,流形上的分析,中国科学院数学与系统科学研究院,2000,A5046980306
630,王涌天,A5026250850,exact,I125839683,round4_maxpapers,867,王涌天,技术光学,北京理工大学,2000,A5026250850
631,王汝成,A5111671972,exact,I881766915,round4_semtie,18,王汝成,矿物学,南京大学,2000,A5007623581
632,王荣福,A5070717343,exact,I177933477,round4_maxpapers,314,王荣福,免疫学,中国人民解放军第二军医大学,2000,A5070717343
633,王鹏业,A5062978902,exact,I4210159876,round4_maxpapers,264,王鹏业,光学和光电子学,中国科学院物理研究所,2000,A5062978902
634,王楠林,A5005186943,exact,I4210159876,round4_maxpapers,196,王楠林,凝聚态物性II:电子结构、电学、磁学和光学性质,中国科学院物理研究所,2000,A5005186943
635,王立东,A5100424664,exact,I38877650,round4_semtie,195,王立东,肿瘤病理学,郑州大学,2000,A5100424660
636,王建祥,A5086214965,exact,I200296433,round4_maxpapers,725,王建祥,血液与淋巴系统内科学,中国医学科学院,2000,A5086214965
637,王凤雨,A5043138062,exact,I25254941,round4_maxpapers,529,王凤雨,概率论,北京师范大学,2000,A5043138062
638,汪越胜,A5101476801,exact,I21193070,round4_maxpapers,633,汪越胜,固体力学,北京交通大学,2000,A5101476801
639,万立骏,A5107901792,exact,I4210155088,round4_semtie,777,万立骏,物理化学,中国科学院化学研究所,2000,A5107901792
640,佟金,A5100661551,exact,I194450716,round4_maxpapers,188,佟金,仿生机械,吉林大学,2000,A5100661551
641,田建国,A5008993657,exact,I205237279,round4_maxpapers,384,田建国,非线性光学,南开大学,2000,A5008993657
642,滕斌,A5101712982,exact,I27357992,round4_maxpapers,288,滕斌,水力学,大连理工大学,2000,A5101712982
643,唐宏,A5102769018,exact,I4210134982,round4_semtie,80,唐宏,生物化学和分子生物学,中国科学院微生物研究所,2000,
644,孙彦,A5100980685,exact,I162868743,round3_semantic,196,孙彦,化学工程及工业化学,天津大学,2000,A5063605100
645,孙笑涛,A5101659829,exact,I4210120485,round2_inst,61,孙笑涛,代数几何,中国科学院数学与系统科学研究院,2000,A5101659829
646,孙润仓,A5100770955,exact,I89652312,round4_maxpapers,966,孙润仓,森林化学,西北农林科技大学,2000,A5100770955
647,苏宏业,A5078403818,exact,I76130692,round4_maxpapers,867,苏宏业,工程系统与控制,浙江大学,2000,A5078403818
648,苏都莫日根,A5027561910,exact,,round4_maxpapers,684,苏都莫日根,植物结构学,北京大学,2000,
649,施敏,A5108590320,exact,I4210112946,round4_semtie,2276,施敏,有机化学,中国科学院上海有机化学研究所,2000,A5108590320
650,邵志敏,A5091402754,exact,I24943067,round4_semtie,153,邵志敏,肿瘤病理学,复旦大学,2000,A5091402754
651,邵荣光,A5002650576,exact,I200296433,round4_maxpapers,163,邵荣光,药理学,中国医学科学院,2000,A5002650576
652,邵明安,A5101026809,exact,I89652312,round4_semtie,626,邵明安,土壤物理学,西北农林科技大学,2000,A5101026809
653,任东,A5038716985,exact,I96852419,round4_semtie,901,任东,动物学,首都师范大学,2000,A5038716985
654,饶云江,A5087570147,exact,I158842170,round4_maxpapers,647,饶云江,光学和光电子学,重庆大学,2000,A5087570147
655,饶光辉,A5043743458,exact,I4210159876,round4_maxpapers,470,饶光辉,金属材料的合金相图、相变及合金设计,中国科学院物理研究所,2000,A5109290129
656,曲选辉,A5073931088,exact,I92403157,round4_maxpapers,1090,曲选辉,粉体工程与粉末冶金,北京科技大学,2000,A5073931088
657,钱旭红,A5081291550,exact,I27357992,round2_inst,674,钱旭红,精细有机化工(染料、涂料、感光剂、粘合剂与日用化工等),大连理工大学,2000,A5042315072
658,彭苏萍,A5003535786,exact,I4399598474,round4_maxpapers,274,彭苏萍,软岩与煤炭开采,中国矿业大学(北京),2000,A5003535786
659,庞代文,A5002745006,exact,I37461747,round4_semtie,472,庞代文,生物电化学,武汉大学,2000,A5002745006
660,牛立文,A5044083934,exact,I126520041,round4_semtie,171,牛立文,生物化学和分子生物学,中国科学技术大学,2000,A5044083934
661,聂品,A5109286533,exact,I4210089584,round4_maxpapers,368,聂品,水产学,中国科学院水生生物研究所,2000,A5109286533
662,聂建国,A5103619419,exact,I99065089,round4_semtie,143,聂建国,结构工程学,清华大学,2000,A5103619419
663,孟洛明,A5100746917,exact,I139759216,round4_maxpapers,171,孟洛明,通信网,北京邮电大学,2000,A5100746917
664,孟杰,A5100645804,exact,I20231570,round4_semtie,824,孟杰,核物理,北京大学,2000,A5100645804
665,孟安明,A5090080418,exact,I99065089,round4_semtie,170,孟安明,细胞生物学及发育生物学,清华大学,2000,A5090080418
666,毛军发,A5036116982,exact,I183067930,round4_maxpapers,868,毛军发,电磁场与微波技术,上海交通大学,2000,A5036116982
667,马正强,A5001716676,exact,I119454577,round2_inst,133,马正强,作物遗传育种学,南京农业大学,2000,A5001716676
668,马力耕,A5019494632,exact,I94611258,round2_inst,118,马力耕,细胞信息,河北师范大学,2000,A5019494632
669,马丁,A5108239903,exact,I47720641,round4_semtie,492,马丁,肿瘤病理学,华中科技大学,2000,A5055822249
670,马伯强,A5012114599,exact,I20231570,round4_maxpapers,338,马伯强,量子色动力学、强相互作用和强子物理,北京大学,2000,A5012114599
671,吕西林,A5019604473,exact,I116953780,round4_maxpapers,185,吕西林,防灾工程学,同济大学,2000,A5019604473
672,雒建斌,A5100608965,exact,I99065089,round4_maxpapers,884,雒建斌,摩擦学,清华大学,2000,A5100608965
673,骆仲泱,A5035118503,exact,I76130692,round4_maxpapers,515,骆仲泱,工程热物理与能源利用学科,浙江大学,2000,A5035118503
674,骆清铭,A5056033605,exact,I47720641,round2_inst,895,骆清铭,生物、医学光学,华中科技大学,2000,A5056033605
675,罗宏杰,A5014758944,exact,I51622183,round4_maxpapers,281,罗宏杰,无机非金属材料学科,陕西科技大学,2000,A5014758944
676,柳卫平,A5101867341,exact,I4210096139,round4_semtie,154,柳卫平,核物理,中国原子能科学研究院,2000,A5100358868
677,刘鸣华,A5058453644,exact,I4210155088,round4_maxpapers,906,刘鸣华,胶体与界面化学,中国科学院化学研究所,2000,A5058453644
678,刘凯欣,A5100398741,exact,I20231570,round4_maxpapers,2004,刘凯欣,冲击动力学,北京大学,2000,A5100674710
679,刘建宁,A5101616271,exact,I881766915,round4_semtie,112,刘建宁,生物化学和分子生物学,南京大学,2000,A5101616271
680,刘洪来,A5040301471,exact,I143593769,round4_maxpapers,950,刘洪来,热力学理论模型和分子系统的计算机模拟,华东理工大学,2000,A5040301471
681,刘海燕,A5115589767,exact,I126520041,round4_semtie,433,刘海燕,分子生物物理,中国科学技术大学,2000,A5049584421
682,凌文华,A5100771835,exact,I157773358,round4_maxpapers,388,凌文华,预防医学与卫生学,中山大学,2000,A5100771835
683,凌昌全,A5052970883,exact,I177933477,round4_maxpapers,206,凌昌全,中西医结合基础与应用基础,中国人民解放军第二军医大学,2000,A5052970883
684,林杨挺,A5083927668,exact,I3018690959,round4_maxpapers,281,林杨挺,天体化学与比较行星学,中国科学院广州地球化学研究所,2000,A5083927668
685,梁曦东,A5007335090,exact,I99065089,round4_maxpapers,149,梁曦东,绝缘与高电压,清华大学,2000,A5007335090
686,栗占国,A5039342892,exact,I20231570,round4_semtie,602,栗占国,免疫学,北京大学,2000,A5039342892
687,李亚栋,A5018710523,exact,I99065089,round4_semtie,4,李亚栋,无机合成和制备化学,清华大学,2000,A5100348455
688,李星国,A5111119392,exact,I20231570,round4_semtie,21,李星国,无机合成和制备化学,北京大学,2000,A5101550434
689,李小凡,A5100637080,exact,I4210126061,round4_maxpapers,300,李小凡,地震学,中国科学院地质与地球物理研究所,2000,A5100637080
690,李向东,A5100416435,exact,I881766915,round4_semtie,353,李向东,恒星物理与星际物质,南京大学,2000,A5100416438
691,李淼,A5100339716,exact,I4210125404,round4_maxpapers,182,李淼,经典物理学和量子理论,中国科学院理论物理研究所,2000,A5100339707
692,李宏男,A5000593612,exact,I83714178,round4_semtie,647,李宏男,建筑环境与结构工程学科,沈阳建筑大学,2000,A5000593612
693,金庆原,A5023858622,exact,I24943067,round4_maxpapers,117,金庆原,凝聚态物性II:电子结构、电学、磁学和光学性质,复旦大学,2000,A5023858622
694,蒋向前,A5052852912,exact,I47720641,round4_maxpapers,812,蒋向前,机械制造自动化,华中科技大学,2000,A5052852912
695,蒋青,A5020445890,exact,I194450716,round4_maxpapers,1279,蒋青,金属材料学科,吉林大学,2000,A5020445890
696,姜培学,A5025099904,exact,I99065089,round4_maxpapers,370,姜培学,传热传质学,清华大学,2000,A5025099904
697,黄震,A5100778507,exact,I183067930,round4_maxpapers,557,黄震,燃烧污染与排气净化,上海交通大学,2000,A5033486450
698,黄烽,A5101477743,exact,I2802939634,round3_semantic,66,黄烽,免疫学,中国人民解放军总医院,2000,A5011775041
699,胡志红,A5100716088,exact,I4210106882,round3_semantic,311,胡志红,微生物学,中国科学院武汉病毒研究所,2000,A5100716088
700,胡跃飞,A5014367473,exact,I99065089,round4_semtie,214,胡跃飞,有机化学,清华大学,2000,A5014367473
701,贺鹤勇,A5104384413,exact,I24943067,round4_semtie,269,贺鹤勇,物理化学,复旦大学,2000,A5039706816
702,何振立,A5033025672,exact,I76130692,round4_maxpapers,480,何振立,地理学、土壤学和遥感,浙江大学,2000,A5033025672
703,韩金林,A5002756705,exact,I4210164580,round4_semtie,580,韩金林,恒星物理与星际物质,中国科学院国家天文台,2000,A5002756705
704,顾朝林,A5090508135,exact,I881766915,round4_maxpapers,114,顾朝林,城市地理学,南京大学,2000,A5090508135
705,葛颂,A5100624774,exact,I4210158097,round4_maxpapers,217,葛颂,植物系统学与分类学,中国科学院植物研究所,2000,A5110239684
706,冯兆东,A5103470014,exact,I76214153,round4_semtie,46,冯兆东,综合自然地理学,兰州大学,2000,A5103470014
707,冯登国,A5101790997,exact,I4210128818,round4_semtie,551,冯登国,计算机保密与编码理论,中国科学院软件研究所,2000,A5101790997
708,封松林,A5101096237,exact,I4210149211,round4_semtie,28,封松林,半导体材料物理,中国科学院半导体研究所,2000,A5100657377
709,方岱宁,A5068283604,exact,I99065089,round2_inst,1084,方岱宁,固体力学,清华大学,2000,A5068283604
710,东秀珠,A5020638539,exact,I4210134982,round2_inst,160,东秀珠,微生物学,中国科学院微生物研究所,2000,A5020638539
711,丁泽军,A5086923958,exact,I126520041,round4_maxpapers,331,丁泽军,凝聚态物性II:电子结构、电学、磁学和光学性质,中国科学技术大学,2000,A5086923958
712,丁明德,A5040109851,exact,I881766915,round2_inst,408,丁明德,太阳和太阳系,南京大学,2000,A5040109851
713,邓金根,A5102781740,exact,I4210106541,round2_inst,212,邓金根,有机化学,中国科学院成都有机化学有限公司,2000,
714,邓红文,A5024194480,exact,I173759888,round4_maxpapers,848,邓红文,医学遗传学及遗传病,湖南师范大学,2000,A5024194480
715,崔鹏,A5100774804,exact,I4210124748,round4_maxpapers,796,崔鹏,综合自然地理学,中国科学院、水利部成都山地灾害与环境研究所,2000,A5100774804
716,程和平,A5076736316,exact,I20231570,round4_semtie,291,程和平,细胞生物学及发育生物学,北京大学,2000,A5076736316
717,程国强,A5036361858,exact,I169479621,round2_inst,22,程国强,农业经济管理,国务院发展研究中心,2000,A5102825407
718,程兵,A5007204343,exact,,round4_maxpapers,171,程兵,金融工程,中国科学院数学与系统科学研究院,2000,A5032974852
719,成会明,A5100406789,exact,I4210126304,round2_inst,1260,成会明,高性能碳素材料,中国科学院金属研究所,2000,A5100406789
720,陈左宁,A5040437297,exact,,round3_semantic,1,陈左宁,计算机科学,中国人民解放军战略支援部队第五十六研究所,2000,A5051366939
721,陈志明,A5100325698,exact,I4210120485,round4_maxpapers,340,陈志明,计算数学与科学工程计算,中国科学院数学与系统科学研究院,2000,A5100325698
722,陈应华,A5101581895,exact,I99065089,round4_semtie,290,陈应华,免疫学,清华大学,2000,A5101581895
723,陈湘明,A5077910059,exact,I76130692,round4_maxpapers,377,陈湘明,无机非金属类信息与功能材料,浙江大学,2000,A5005993323
724,陈军,A5033686682,exact,,round4_semtie,4,陈军,资源环境信息系统,国家基础地理信息中心,2000,A5100450146
725,陈化,A5100752965,exact,I37461747,round4_maxpapers,379,陈化,偏微分方程,武汉大学,2000,A5024058852
726,陈戈,A5100359784,exact,I59028903,round4_semtie,389,陈戈,海洋遥感,中国海洋大学,2000,A5100359784
727,陈尔强,A5086554450,exact,I20231570,round4_maxpapers,207,陈尔强,高分子物理及高分子物理化学,北京大学,2000,A5086554450
728,曹晋滨,A5048586965,exact,I4210115570,round4_semtie,419,曹晋滨,空间物理,中国科学院国家空间科学中心,2000,A5048586965
729,蔡莉,A5100767097,exact,I194450716,round4_maxpapers,231,蔡莉,技术经济与技术管理,吉林大学,2000,A5046839995
730,左建儒,A5101440324,exact,I4210124606,round2_inst,110,左建儒,分子遗传学,中国科学院遗传与发育生物学研究所,2001,A5101440324
731,邹亚明,A5103692527,exact,I24943067,round4_maxpapers,129,邹亚明,核科学和其他学科的交叉,复旦大学,2001,A5112747268
732,邹德春,A5003764136,exact,I20231570,round4_maxpapers,217,邹德春,功能高分子材料,北京大学,2001,A5003764136
733,朱晓晴,A5084030628,exact,I205237279,round4_semtie,140,朱晓晴,物理有机化学,南开大学,2001,
734,朱利中,A5103159974,exact,I76130692,round3_semantic,173,朱利中,环境化学,浙江大学,2001,A5103159974
735,周雪平,A5089986454,exact,I76130692,round4_maxpapers,462,周雪平,作物病毒病害,浙江大学,2001,A5089986454
736,周桥,A5076739480,exact,I24185976,round3_semantic,33,周桥,细胞生物学及发育生物学,四川大学,2001,A5006502427
737,周鸣飞,A5100694750,exact,I24943067,round3_semantic,405,周鸣飞,物理化学,复旦大学,2001,A5100694750
738,周金秋,A5045550226,exact,I4210106477,round4_semtie,67,周金秋,生物化学和分子生物学,中国科学院上海生命科学研究院,2001,A5022633117
739,周常河,A5053598280,exact,I4210135349,round4_maxpapers,444,周常河,光学存贮及材料,中国科学院上海光学精密机械研究所,2001,A5053598280
740,仲政,A5022438637,exact,I116953780,round4_maxpapers,293,仲政,固体力学,同济大学,2001,A5022438637
741,郑强,A5100695325,exact,I76130692,round4_semtie,624,郑强,多组分多相高分子材料,浙江大学,2001,A5100695325
742,赵修建,A5100665560,exact,I196699116,round4_maxpapers,830,赵修建,玻璃材料,武汉理工大学,2001,A5100665560
743,赵兴中,A5048613747,exact,I37461747,round4_semtie,435,赵兴中,换能材料,武汉大学,2001,A5048613747
744,赵康,A5048425535,exact,I162868743,round4_maxpapers,352,赵康,药物合成学,天津大学,2001,A5039040895
745,赵春华,A5031031038,exact,I200296433,round3_semantic,4,赵春华,病理生理学,中国医学科学院,2001,A5057401097
746,张学,A5100445868,exact,I91656880,round4_semtie,173,张学,肿瘤病理学,中国医科大学,2001,A5100445886
747,张天爵,A5088711274,exact,I4210096139,round4_maxpapers,160,张天爵,粒子物理与核物理实验设备,中国原子能科学研究院,2001,A5088711274
748,张俊颖,A5089545728,exact,I126520041,round4_maxpapers,973,张俊颖,无机非金属类信息与功能材料,中国科学技术大学,2001,A5100618934
749,张健,A5100409994,exact,I4210128818,round4_semtie,851,张健,计算机软件,中国科学院软件研究所,2001,A5100410082
750,张广铭,A5035053309,exact,I99065089,round4_maxpapers,1267,张广铭,凝聚态物性II:电子结构、电学、磁学和光学性质,清华大学,2001,A5100334981
751,张广军,A5108166978,exact,I82880672,round4_maxpapers,1586,张广军,传感器技术与测试仪器,北京航空航天大学,2001,A5100602615
752,张改平,A5007641506,exact,I4210096196,round4_maxpapers,400,张改平,兽医学,河南省农业科学院,2001,A5007641506
753,张大勇,A5100701213,exact,I25254941,round4_semtie,228,张大勇,生态学一般理论和方法,北京师范大学,2001,A5050809806
754,张承才,A5087244801,exact,I204823248,round4_maxpapers,130,张承才,微生物遗传育种,华中农业大学,2001,A5050809806
755,于吉红,A5100726102,exact,I194450716,round4_semtie,798,于吉红,无机化学,吉林大学,2001,A5100726102
756,尹景学,A5101431598,exact,I194450716,round4_semtie,208,尹景学,基础数学,吉林大学,2001,A5101431598
757,殷克东,A5100625565,exact,I4210103685,round4_maxpapers,150,殷克东,生物海洋学(含生物海洋技术),中国科学院南海海洋研究所,2001,A5100625565
758,姚咏明,A5115595105,exact,I2802939634,round3_semantic,13,姚咏明,病理生理学,中国人民解放军总医院,2001,A5101815933
759,杨放春,A5011978021,exact,I139759216,round4_maxpapers,412,杨放春,通信网,北京邮电大学,2001,A5011978021
760,阎小培,A5100912809,exact,I157773358,round4_maxpapers,88,阎小培,城市地理学,中山大学,2001,A5024825559
761,薛澜,A5100640923,exact,I99065089,round4_maxpapers,176,薛澜,公共管理与公共政策,清华大学,2001,A5100640923
762,徐永平,A5057590021,exact,I27357992,round4_maxpapers,234,徐永平,畜禽生理学,大连理工大学,2001,A5057590021
763,徐星,A5101679416,exact,I4210086287,round4_maxpapers,829,徐星,古生物学(含古人类学),中国科学院古脊椎动物与古人类研究所,2001,A5101679416
764,徐夕生,A5005598847,exact,I881766915,round4_maxpapers,136,徐夕生,岩石学,南京大学,2001,A5005598847
765,徐天乐,A5108120882,exact,I126520041,round4_semtie,37,徐天乐,细胞神经生物学,中国科学技术大学,2001,A5080465353
766,徐南平,A5100918146,exact,I134687103,round4_semtie,272,徐南平,化学工程及工业化学,南京工业大学,2001,A5100918146
767,徐精彩,A5078102102,exact,I110440473,round4_maxpapers,121,徐精彩,采矿安全与环境,西安科技大学,2001,A5078102102
768,徐济超,A5100550529,exact,I192868223,round4_maxpapers,43,徐济超,质量管理,郑州航空工业管理学院,2001,A5100550529
769,徐国良,A5022863165,exact,I4210106477,round4_semtie,214,徐国良,分子遗传学,中国科学院上海生命科学研究院,2001,A5022863165
770,徐柏庆,A5100711146,exact,I99065089,round4_maxpapers,184,徐柏庆,多相催化,清华大学,2001,A5100711146
771,谢建新,A5100337724,exact,I92403157,round2_inst,566,谢建新,特殊冶金与材料制备工程,北京科技大学,2001,A5100337724
772,夏兴华,A5004925266,exact,I881766915,round4_maxpapers,514,夏兴华,分析化学,南京大学,2001,A5004925266
773,夏斌,A5100751855,exact,I20231570,round4_semtie,237,夏斌,生物化学和分子生物学,北京大学,2001,A5085292302
774,吴宗敏,A5102084780,exact,I24943067,round4_maxpapers,75,吴宗敏,曲面设计,复旦大学,2001,A5102084780
775,吴自玉,A5101412365,exact,I4210137180,round4_maxpapers,2295,吴自玉,核技术及其应用,中国科学院高能物理研究所,2001,A5103606509
776,吴颖,A5058435416,exact,I47720641,round4_semtie,257,吴颖,量子光学,华中科技大学,2001,A5101780958
777,吴晓光,A5100374743,exact,I4210149211,round4_semtie,147,吴晓光,半导体物理,中国科学院半导体研究所,2001,A5100374743
778,吴骊珠,A5071014155,exact,I4210140689,round4_semtie,867,吴骊珠,有机光化学,中国科学院理化技术研究所,2001,A5071014155
779,吴凯,A5038287652,exact,I20231570,round4_maxpapers,743,吴凯,物理化学,北京大学,2001,A5038287652
780,魏辅文,A5103655060,exact,I4210167311,round3_semantic,30,魏辅文,动物学,中国科学院动物研究所,2001,A5041045003
781,王志光,A5100637055,exact,I4210131271,round4_maxpapers,549,王志光,核科学和其他学科的交叉,中国科学院近代物理研究所,2001,A5100637055
782,王跃飞,A5101990317,exact,I4210120485,round4_semtie,72,王跃飞,基础数学,中国科学院数学与系统科学研究院,2001,A5086465035
783,王维华,A5100462310,exact,I4210167311,round4_maxpapers,170,王维华,动物学,中国科学院动物研究所,2001,A5100462313
784,王铁军,A5100438109,exact,I87445476,round4_maxpapers,512,王铁军,固体力学,西安交通大学,2001,A5100438109
785,王松灵,A5060243305,exact,I183519381,round4_semtie,67,王松灵,口腔医学,首都医科大学,2001,A5110453447
786,王明荣,A5081726859,exact,I200296433,round4_semtie,259,王明荣,分子遗传学,中国医学科学院,2001,A5081726859
787,王磊,A5100436159,exact,I205237279,round4_semtie,395,王磊,微生物学,南开大学,2001,A5115695525
788,王建国,A5087285784,exact,I76569877,round3_semantic,144,王建国,建筑学,东南大学,2001,A5100336346
789,王惠文,A5115602103,exact,I82880672,round4_maxpapers,1416,王惠文,公共管理与公共政策,北京航空航天大学,2001,A5057451811
790,王会军,A5100416404,exact,I4210152758,round4_semtie,407,王会军,气候学,中国科学院大气物理研究所,2001,A5100416403
791,王官武,A5025336032,exact,I126520041,round3_semantic,505,王官武,有机化学,中国科学技术大学,2001,A5058355495
792,王飞跃,A5113600509,exact,I4210112150,round4_maxpapers,1723,王飞跃,智能控制理论,中国科学院自动化研究所,2001,A5113600509
793,王长平,A5100687842,exact,I20231570,round4_maxpapers,1518,王长平,整体微分几何,北京大学,2001,A5037696275
794,汪寿阳,A5078558986,exact,I4210120485,round4_maxpapers,1274,汪寿阳,决策理论,中国科学院数学与系统科学研究院,2001,A5078558986
795,田志刚,A5083130438,exact,I126520041,round4_semtie,634,田志刚,免疫学,中国科学技术大学,2001,A5083130438
796,唐仕波,A5031243964,exact,I157773358,round4_maxpapers,283,唐仕波,眼科学,中山大学,2001,A5031243964
797,孙继敏,A5013335971,exact,I4210126061,round2_inst,188,孙继敏,第四纪地质学,中国科学院地质与地球物理研究所,2001,A5013335971
798,隋曼龄,A5068617225,exact,I4210126304,round2_inst,233,隋曼龄,金属的晶体结构与缺陷及其表征方法,中国科学院金属研究所,2001,A5068617225
799,沈永明,A5110193011,exact,I27357992,round4_maxpapers,124,沈永明,环境水利,大连理工大学,2001,A5110193011
800,沈文忠,A5100611222,exact,I183067930,round4_maxpapers,379,沈文忠,凝聚态物性II:电子结构、电学、磁学和光学性质,上海交通大学,2001,A5100611222
801,沈超,A5034908043,exact,I4210115570,round4_semtie,173,沈超,空间物理,中国科学院国家空间科学中心,2001,A5101843177
802,任中洲,A5110239568,exact,I881766915,round4_semtie,554,任中洲,核物理,南京大学,2001,A5110239568
803,任南琪,A5109502967,exact,I204983213,round4_semtie,164,任南琪,环境工程学,哈尔滨工业大学,2001,A5100632966
804,邱建荣,A5019618023,exact,I4210135349,round4_maxpapers,1175,邱建荣,无机非金属类信息与功能材料,中国科学院上海光学精密机械研究所,2001,A5019618023
805,孟庆翔,A5017255322,exact,I52158045,round4_semtie,170,孟庆翔,畜禽营养学,中国农业大学,2001,A5017255322
806,梅宏,A5100633784,exact,I20231570,round4_semtie,428,梅宏,计算机软件,北京大学,2001,A5100633784
807,马於光,A5111923863,exact,I194450716,round4_semtie,36,马於光,高分子物理及高分子物理化学,吉林大学,2001,A5100443244
808,马润林,A5102208246,exact,I4210124606,round4_semtie,26,马润林,动物遗传学,中国科学院遗传与发育生物学研究所,2001,A5102208246
809,马光辉,A5019359121,exact,I4210133325,round4_maxpapers,585,马光辉,聚合反应工程,中国科学院过程工程研究所,2001,A5019359121
810,骆永明,A5036508020,exact,I4210165559,round4_semtie,411,骆永明,土壤化学,中国科学院南京土壤研究所,2001,A5036508020
811,罗小平,A5078004388,exact,I47720641,round4_maxpapers,602,罗小平,病理生理学,华中科技大学,2001,A5029085127
812,罗懋康,A5101752471,exact,I24185976,round4_semtie,150,罗懋康,数学,四川大学,2001,A5101752471
813,陆夕云,A5017366829,exact,I126520041,round4_maxpapers,311,陆夕云,流体力学,中国科学技术大学,2001,A5017366829
