rid,us_name,authorid,match_type,host_id,source,n_papers
1814,Abigail Stylianou,A5018301000,exact,,name_unique,1
1821,Daljit Singh Dhillon,A5013304349,alias,I8078737,round2_inst,18
1823,Francis J Panetta,A5019326663,fuzzy,,round3_semantic,1
1835,Vernon K Dunn,A5027772108,fuzzy,,round4_maxpapers,1
1837,Krishnakumar Garikipati,A5091031326,exact,,name_unique,4
1850,Yuan Gao,A5028219233,alias,,round3_semantic,12
1851,Stacey D Smith,A5029361917,alias,,round4_maxpapers,1
1858,Omer A Ali,A5087156936,alias,,round3_semantic,9
1862,Joseph M Jez,A5088803064,alias,,round3_semantic,3
1863,Luis E Zambrano-Cruzatty,A5063727700,fuzzy,I7947594,round3_semantic,10
1874,Ravi Karkar,A5003260642,alias,I24603500,round2_inst,20
1876,Laurel E Hind,A5071022007,fuzzy,,round3_semantic,20
1878,Mark R Sweeney,A5080598676,alias,,round4_maxpapers,1
1887,Bridget E Hegarty,A5002092433,alias,I58956616,round2_inst,20
1891,Liela Romero,A5041597524,alias,I157394403,round2_inst,9
1893,Aarushi Bhandari,A5019611547,exact,,name_unique,10
1902,Margarita Kaplow,A5031420354,exact,,name_unique,8
1904,Aaron J Sholders,A5030068936,fuzzy,I92446798,round3_semantic,1
1909,Michael B Larsen,A5027283606,fuzzy,I52669646,round2_inst,20
1910,Rebecca Sanft,A5027923761,exact,,name_unique,9
1924,Gabrielle D Pina,A5037263240,fuzzy,,round4_maxpapers,1
1928,Timothy R Riley,A5114633379,fuzzy,,round3_semantic,1
1931,Eliza I Clark,A5088169966,fuzzy,,round3_semantic,17
1942,Kelly Krieble,A5001175538,exact,,name_unique,10
1946,Caglar Uyanik,A5067348748,exact,I135310074,round2_inst,19
1965,William T Taylor,A5073546934,exact,,name_unique,1
1969,MONICA NESBITT,A5031320421,exact,I592451,round2_inst,16
1975,Philip Shushkov,A5103243410,alias,,round3_semantic,8
1976,Jacqueline E Dixon,A5056933367,fuzzy,,round4_maxpapers,5
1985,Adam B Birchfield,A5036151228,alias,,round3_semantic,7
1986,Can Li,A5100334056,alias,,round3_semantic,8
1999,Victoria D Wilder,A5090538920,fuzzy,,round4_maxpapers,1
2010,Fanxin Kong,A5108999536,exact,I107639228,round3_semantic,14
2021,Xiaoyu Tang,A5006695759,alias,,round3_semantic,11
2033,Christopher DelRe,A5033930647,exact,,name_unique,19
2035,Ashley A Weaver,A5057140665,alias,,round4_maxpapers,1
2049,Filippo Calderoni,A5083772693,exact,,name_unique,19
2050,Kevin P Moran,A5108820532,fuzzy,,round3_semantic,5
2053,Sarah C Jones,A5019810790,exact,,round4_maxpapers,1
2059,Joanna Maria N San Pedro,A5044808931,fuzzy,,round4_maxpapers,5
2060,Ryan B Comes,A5074020104,alias,,round4_maxpapers,2
2073,Rebecca B Simmons,A5046993436,fuzzy,,round3_semantic,14
2076,Mehdi Khazaeli,A5091684348,exact,I119942576,round2_inst,11
2085,Roger H Varney,A5064007159,alias,,round4_maxpapers,1
2092,John V O'Loughlin,A5032287069,fuzzy,,round3_semantic,3
2098,Nikole K Lewis,A5079558896,fuzzy,I205783295,round3_semantic,7
2103,Ana S Balibanu,A5054327950,fuzzy,,round3_semantic,16
2107,Young Rae Choi,A5046227627,alias,I19700959,round2_inst,18
2110,Rebecca H Jackson,A5104684575,fuzzy,I121934306,round2_inst,1
2116,Alaine C Hippee,A5011843685,fuzzy,,round3_semantic,11
2118,Jennifer Spohrer,A5051485933,exact,,name_unique,20
2120,Amy Y Xu,A5018380045,fuzzy,I121820613,round2_inst,20
2127,Amber J Avery,A5057078830,fuzzy,,round3_semantic,1
2129,Lina Quan,A5033964677,alias,I859038795,round2_inst,11
2130,Karri F DiPetrillo,A5011573057,fuzzy,,round4_maxpapers,2
2140,Timothy M Conway,A5102398286,fuzzy,,round3_semantic,1
2142,Catherine Bergman,A5011059353,exact,,name_unique,3
2168,Andrew R Thurber,A5040801727,alias,,round4_maxpapers,1
2182,Pius K Suh,A5032988582,fuzzy,I174612323,round2_inst,9
2183,Hao Zheng,A5091132511,alias,,round3_semantic,8
2186,Joshua Modell,A5024206759,fuzzy,I145311948,round2_inst,20
2189,Demyan E Prokopchuk,A5068273549,alias,,round4_maxpapers,1
2192,Kristopher L Schmidt,A5113720592,fuzzy,I201426678,round2_inst,11
2197,Geraldine L Cochran,A5006627094,alias,,round4_maxpapers,1
2203,Tamara S Lehman,A5020218455,fuzzy,,round3_semantic,16
2207,Qing Zhao,A5102705262,alias,I12912129,round2_inst,16
2216,Kerry L Breno,A5067018479,fuzzy,I168046917,round2_inst,11
2218,Caitlin J Light,A5086092493,fuzzy,,round3_semantic,14
2221,Yun-Sheng Chen,A5091754116,alias,,round3_semantic,5
2226,Sunita R Shah Walter,A5111090797,fuzzy,,round3_semantic,1
2233,Sara Gremillion,A5027743119,exact,,name_unique,15
2238,Alissa R Armstrong,A5067668610,fuzzy,,round3_semantic,18
2239,Yevgeniy Shakirov,A5041292871,alias,I88694374,round2_inst,2
