rid,eu_name,authorid,sci_name,match_type
3178,Maria Libertad González Luna,A5028313371,Maria Rodriguez Luna,fuzzy
4227,Michaël Philippe Weber,A5112437983,Michael Weber,fuzzy
235,Michaël Philippe Weber,A5112437983,Michael Weber,fuzzy
1951,John Julian Larrarte Morton,A5113475894,John Morton,fuzzy
1721,Robert Tohru Koenig,A5097061828,Robert Koenig,fuzzy
563,Ana Joao Gomes Rodrigues,A5013032817,Ana Lucia Chalhoub Chediác Rodrigues,fuzzy
3178,Maria Libertad González Luna,A5055356865,María Guislena Cueto Luna,fuzzy
4227,Michaël Philippe Weber,A5001449965,Michael Weber,fuzzy
235,Michaël Philippe Weber,A5001449965,Michael Weber,fuzzy
563,Ana Joao Gomes Rodrigues,A5019350355,Ana Paula Piris Rodrigues,fuzzy
563,Ana Joao Gomes Rodrigues,A5027730952,Ana Kelve de Castro Rodrigues,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5108972565,Bruno José Martini Santos,fuzzy
1400,David Christophe Hernandez,A5076904953,David Leonardo Flechas Hernández,fuzzy
563,Ana Joao Gomes Rodrigues,A5109948130,Ana Amélia Rodrigues,fuzzy
1493,Ana Godinho Ferreira,A5111275721,ANA LAURA HENRIQUES ARAUJO FERREIRA,fuzzy
2892,Rebeca Marcilla Garcia,A5020670668,Rebeca Alonso García,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5064000103,Pedro Henrique Potiguara Carvalho,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5004346128,Bruno Miguel dos Santos,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5102600529,Bruno Batista Dos Santos,fuzzy
563,Ana Joao Gomes Rodrigues,A5039184963,Ana Carolina Chimer Rodrigues,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5000611647,Ana Bela Sousa Delicado Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5000611647,Ana Bela Sousa Delicado Teixeira,fuzzy
194,Marcelo Nollmann Martinez,A5001779800,Marcelo Manuel Aldaz Martinez,fuzzy
1493,Ana Godinho Ferreira,A5064887085,Ana Teresa Ramos Ferreira,fuzzy
1267,Cristina Maria Da Costa Silva Pereira,A5096384780,Cristina Pereira,fuzzy
3216,Alberto Miguel Martin,A5059516402,Alberto Sanchez Martin,fuzzy
1400,David Christophe Hernandez,A5110243756,David Chacón Hernández,fuzzy
2848,Tobias Manuel Schneider,A5059098231,Tobias R. Schneider,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5035660525,Ana Carolina Savastano Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5035660525,Ana Carolina Savastano Teixeira,fuzzy
1999,Andrew James Ferguson,A5068701159,Andrew Ferguson,fuzzy
563,Ana Joao Gomes Rodrigues,A5063476969,Ana Paula Lopes da Silva Rodrigues,fuzzy
161,Manuel Irimia Martinez,A5042560825,Manuel Abella Martínez,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5031093675,Ana Paula Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5031093675,Ana Paula Teixeira,fuzzy
1493,Ana Godinho Ferreira,A5008248285,Ana Carolina de Oliveira Ferreira,fuzzy
1493,Ana Godinho Ferreira,A5089173616,Ana Caroline Souza Saraiva Ferreira,fuzzy
2244,Andreas Jean Leopold Walther,A5060067635,Andreas Walther,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5010773877,Maria Emília da Silva Quintela Ribeiro,fuzzy
2352,Jose Julian Aleman Lara,A5048345660,José Antonio Sola Lara,fuzzy
563,Ana Joao Gomes Rodrigues,A5043009449,Ana Lucia Campanha-Rodrigues,fuzzy
2352,Jose Julian Aleman Lara,A5035734311,José Antonio Romero Lara,fuzzy
161,Manuel Irimia Martinez,A5008218659,Manuel Herrera Martínez,fuzzy
4216,Rui Manuel Marques Fernandes Da Costa,A5087951005,Rui Costa,fuzzy
655,Rui Manuel Marques Fernandes Da Costa,A5087951005,Rui Costa,fuzzy
3178,Maria Libertad González Luna,A5102584719,María Isabel Téllez Luna,fuzzy
161,Manuel Irimia Martinez,A5040780641,Manuel Revilla Martínez,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5062034694,Ana Raquel Martins Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5062034694,Ana Raquel Martins Teixeira,fuzzy
1493,Ana Godinho Ferreira,A5102023329,Ana Lucia Anjos Ferreira,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5113375486,Maria Cristiellen Rodrigues Ribeiro,fuzzy
2260,John Forwood Bower,A5078286643,John C Bower,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5113783788,Pedro Carvalho,fuzzy
911,Per Martin Englund,A5076514636,Per Englund,fuzzy
1493,Ana Godinho Ferreira,A5033165727,Ana Laura Chaves Ferreira,fuzzy
2343,Martin Georg Steinhart,A5042098091,Martin Steinhart,fuzzy
1752,Rafael Alejandro Porto Pereira,A5101045073,Rafael Pereira,fuzzy
1400,David Christophe Hernandez,A5077996692,David Soler i Hernàndez,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5108150634,Pedro Lemos Carvalho,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5048250503,Maria Heloisa Viana Ribeiro,fuzzy
563,Ana Joao Gomes Rodrigues,A5004890482,Ana Irene Vasconcelos Rodrigues,fuzzy
1134,Andrew Neil Radford,A5046083509,Andrew D Radford,fuzzy
161,Manuel Irimia Martinez,A5109488368,Manuel Goyanes Martínez,fuzzy
1493,Ana Godinho Ferreira,A5102392766,Ana Carolina da Silva Ferreira,fuzzy
4227,Michaël Philippe Weber,A5114419204,Michael Weber,fuzzy
235,Michaël Philippe Weber,A5114419204,Michael Weber,fuzzy
1400,David Christophe Hernandez,A5039397744,David Abad Hernández,fuzzy
1493,Ana Godinho Ferreira,A5114348558,Ana Laura Costa Ferreira,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5014649325,Bruno Fellipe dos Santos,fuzzy
3216,Alberto Miguel Martin,A5018161078,Alberto Javier Narro Martín,fuzzy
3178,Maria Libertad González Luna,A5107402045,Maria Teresa Bravo Luna,fuzzy
1721,Robert Tohru Koenig,A5105855576,Robert Koenig,fuzzy
602,Matthew Stuart Grubb,A5051552443,Matthew D. Grubb,fuzzy
161,Manuel Irimia Martinez,A5010464456,Manuel Ignacio López-Martínez,fuzzy
900,Björn Erik Ake Nilsson,A5105079253,Bjorn Nilsson,fuzzy
38,João Pedro Fernandes De Matos,A5045121715,João Henrique Trindade e Matos,fuzzy
4070,Alexandra Fredricka Caroline Cuffel,A5099361172,Alexandra Cuffel,fuzzy
711,Carlos Filipe Ribeiro Lemos Pereira,A5039085722,Carlos Jorge Faia Pereira,fuzzy
1400,David Christophe Hernandez,A5113445606,David Huerta Hernández,fuzzy
161,Manuel Irimia Martinez,A5090832463,Manuel Augusto López Martínez,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5021813934,Ana Cecíia de Araújo Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5021813934,Ana Cecíia de Araújo Teixeira,fuzzy
563,Ana Joao Gomes Rodrigues,A5111064361,ANA LIGIA VIEIRA RODRIGUES,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5002079834,Maria Carolina de Sales Ribeiro,fuzzy
1493,Ana Godinho Ferreira,A5071961768,Ana Luiza Penido Ferreira,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5055474152,Maria do Carmo Meirelles Reis Branco Ribeiro,fuzzy
1267,Cristina Maria Da Costa Silva Pereira,A5096549915,Cristina Santos Pereira,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5109631964,Maria Cecilia Maranhão Ribeiro,fuzzy
563,Ana Joao Gomes Rodrigues,A5084435670,Ana Paula Gomes Melo Rodrigues,fuzzy
3881,"Anne-Madeleine, Stéphanie, Louise Goulet",A5023915670,Anne Goulet,fuzzy
1493,Ana Godinho Ferreira,A5058547535,Ana Patricia Sosa Ferreira,fuzzy
563,Ana Joao Gomes Rodrigues,A5028034018,Ana Luiza Rosa Rodrigues,fuzzy
1493,Ana Godinho Ferreira,A5018419242,Ana P. S. Ferreira,fuzzy
3891,Gesine Ulrike Müller,A5104672899,Gesine Müller,fuzzy
4219,Tillmann Joachim Lüders,A5062021395,Tillmann J. Lüders,fuzzy
1279,Tillmann Joachim Lüders,A5062021395,Tillmann J. Lüders,fuzzy
1493,Ana Godinho Ferreira,A5108329868,Ana Lívia Ferreira,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5114455328,MARIA FERNANDA MUSSOLINO RIBEIRO,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5099435810,Maria do Espìrito Santo Rosa Cavalcante Ribeiro,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5112271956,Maria Santiago Ribeiro,fuzzy
1131,Graham Keith Taylor,A5109568882,Graham Taylor,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5034820958,Bruno Grego-Santos,fuzzy
1493,Ana Godinho Ferreira,A5034691962,Ana Cristina Miranda Starling Moura Ferreira,fuzzy
1493,Ana Godinho Ferreira,A5111109319,Ana Paula Ferreira,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5076684672,ANA BEATRIZ ESTEVES TEIXEIRA,fuzzy
980,Ana Isabel De Sousa Teixeira,A5076684672,ANA BEATRIZ ESTEVES TEIXEIRA,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5077956844,Maria Cristina Portella Ribeiro,fuzzy
750,Jose Henrique Veiga Fernandes,A5036937615,José Moniz Fernandes,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5008587581,Pedro Rogerio Borges de Carvalho,fuzzy
1493,Ana Godinho Ferreira,A5017309731,Ana Daniela da Cunha Sanches e Mexia Ferreira,fuzzy
1400,David Christophe Hernandez,A5080299639,David Campos Hernández,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5045569318,Maria Cecília Menks Ribeiro,fuzzy
161,Manuel Irimia Martinez,A5108142981,Manuel Ernesto Maqueo Martínez,fuzzy
711,Carlos Filipe Ribeiro Lemos Pereira,A5075466157,Carlos Cézar Ferreira Pereira,fuzzy
1112,Sara Newbery Raposo De Magalhães,A5024634386,Sara Dias Magalhães,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5065957095,Maria Catarina Guimarães Ribeiro,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5038528555,Ana Paula Simões Ferreira Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5038528555,Ana Paula Simões Ferreira Teixeira,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5102433527,Ana Lúcia Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5102433527,Ana Lúcia Teixeira,fuzzy
750,Jose Henrique Veiga Fernandes,A5047598606,José Miguel Jerónimo Alves Fernandes,fuzzy
1493,Ana Godinho Ferreira,A5028019924,Ana Carolina Andorinho de F. Ferreira,fuzzy
711,Carlos Filipe Ribeiro Lemos Pereira,A5088051234,Carlos Augusto Santana Pereira,fuzzy
161,Manuel Irimia Martinez,A5021796217,Manuel Barnuevo Martínez,fuzzy
1257,Ana Isabel Caño Delgado,A5103795569,Ana Paula Sosa Delgado,fuzzy
1112,Sara Newbery Raposo De Magalhães,A5110676511,Sara Resplande Magalhães,fuzzy
1493,Ana Godinho Ferreira,A5020352552,Ana Rita dos Santos Ferreira,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5078836991,ANA CLARA GAVIRA RESENDE TEIXEIRA,fuzzy
980,Ana Isabel De Sousa Teixeira,A5078836991,ANA CLARA GAVIRA RESENDE TEIXEIRA,fuzzy
1257,Ana Isabel Caño Delgado,A5066208586,Ana Navarro Delgado,fuzzy
1493,Ana Godinho Ferreira,A5101394477,Ana Cristina dos Santos Ferreira,fuzzy
2352,Jose Julian Aleman Lara,A5072020348,José Manuel Escalante Lara,fuzzy
894,Jens Gunnar Hakan Hjerling Leffler,A5075557115,Jens Leffler,fuzzy
3216,Alberto Miguel Martin,A5076502736,Alberto Alonso Martín,fuzzy
1400,David Christophe Hernandez,A5073522282,David Corral Hernández,fuzzy
4209,Ana Isabel De Sousa Teixeira,A5037919421,Ana Paula Leal Teixeira,fuzzy
980,Ana Isabel De Sousa Teixeira,A5037919421,Ana Paula Leal Teixeira,fuzzy
3178,Maria Libertad González Luna,A5109067498,María Flavia Luna,fuzzy
1539,Daniel Roy Parsons,A5102463694,Daniel Parsons,fuzzy
1493,Ana Godinho Ferreira,A5086728563,Ana Mayra Barbosa Ferreira,fuzzy
711,Carlos Filipe Ribeiro Lemos Pereira,A5103581628,CARLOS ADOLPHO C. PEREIRA,fuzzy
563,Ana Joao Gomes Rodrigues,A5019243214,Ana Paula Rodrigues,fuzzy
1267,Cristina Maria Da Costa Silva Pereira,A5043460036,Cristina Pereira,fuzzy
1400,David Christophe Hernandez,A5090228214,David Antonio Pérez Hernández,fuzzy
1156,John Leo Quinn,A5101908255,John F. Quinn,fuzzy
3890,Maria Margarida De Sa Calafate Ribeiro,A5058831653,Maria Saldanha Pinto Ribeiro,fuzzy
1951,John Julian Larrarte Morton,A5102112184,John J. Morton,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5035146944,Bruno Ribeiro Santos,fuzzy
297,Pedro Nuno Chaves Simoes De Carvalho,A5108976278,Pedro Gabriel de Carvalho,fuzzy
563,Ana Joao Gomes Rodrigues,A5066534571,Ana Maria Anjos Romba Rodrigues,fuzzy
3178,Maria Libertad González Luna,A5016165624,María Gabriela Camberos Luna,fuzzy
1809,Mark Douglas Hannam,A5068340782,Mark Hannam,fuzzy
1112,Sara Newbery Raposo De Magalhães,A5094270997,Sara Leite Magalhães,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5063524933,Bruno Fonseca‐Santos,fuzzy
746,Bruno Miguel De Carvalho E Silva Santos,A5044755807,Bruno Santos dos Santos,fuzzy
465,William Edward Louch,A5032822233,William E. Louch,fuzzy
1400,David Christophe Hernandez,A5025267388,David Roberto Hernandez,fuzzy
1493,Ana Godinho Ferreira,A5109518452,Ana Rita Machado Ferreira,fuzzy
750,Jose Henrique Veiga Fernandes,A5049337186,José Lúcio Tozetti Fernandes,fuzzy
4216,Rui Manuel Marques Fernandes Da Costa,A5007301282,Rui José Alves da Costa,fuzzy
655,Rui Manuel Marques Fernandes Da Costa,A5007301282,Rui José Alves da Costa,fuzzy
3837,Thomas Marcel Douglas,A5100902140,Thomas J. Douglas,fuzzy
317,Monica Bettencourt Carvalho Dias,A5065946989,Mônica Falk Dias,fuzzy
3216,Alberto Miguel Martin,A5101458141,Alberto Martín,fuzzy
2155,Petra Elisabeth De Jongh,A5040096948,Petra E. de Jongh,fuzzy
3197,Ricardo Augusto Marcos Rocha Reis,A5076617601,Ricardo Augusto de Melo Reis,fuzzy
750,Jose Henrique Veiga Fernandes,A5028994025,José Ilton Pedro Fernandes,fuzzy
1493,Ana Godinho Ferreira,A5034620720,Ana Sofia Fernandes Ferreira,fuzzy
711,Carlos Filipe Ribeiro Lemos Pereira,A5070457989,Carlos Roberto Pereira,fuzzy
1493,Ana Godinho Ferreira,A5113952492,Ana Carolina Almeida de Oliveira Ferreira,fuzzy
1817,James Matthew Drummond,A5097750296,James Drummond,fuzzy
563,Ana Joao Gomes Rodrigues,A5079213126,Ana Luísa Rodrigues,fuzzy
161,Manuel Irimia Martinez,A5046655127,Manuel Felipe Martinez,fuzzy
563,Ana Joao Gomes Rodrigues,A5099179953,Ana Aurea Alecio de Oliveira Rodrigues,fuzzy
