rid,eu_name,authorid,match_type,host_id,passed,n_papers,source
2632,Fei Ding,A5004243536,exact,,True,477,round4_semtie
2637,Yonina Eldar,A5005913897,alias,I53964585,False,1545,round4_maxpapers
2643,Laurent Schmalen,A5053280913,exact,I102335020,True,296,round4_semtie
2648,Stefan Witte,A5046110011,exact,,True,236,round4_semtie
2650,Fabrizio De Vico Fallani,A5089157446,exact,I1326498283,True,277,round4_semtie
2667,Matthias Althoff,A5005383495,exact,I62916508,True,413,round4_semtie
2669,Francois Andrieu,A5069215871,alias,I2738703131,True,211,round4_semtie
2675,Heinz Koeppl,A5070544702,exact,I31512782,True,335,round4_semtie
2676,Ming Cao,A5021403340,exact,I169381384,True,792,round4_semtie
2684,Camille Sophie Bres Ep. Tremblay,A5088617511,fuzzy,,False,3,round4_maxpapers
2696,Albert Guillén I Fàbregas,A5005125538,exact,I170486558,False,246,round4_maxpapers
2699,Esther Rodriguez-Villegas,A5026574215,exact,I47508984,True,203,round4_semtie
2712,Hatice Altug Yanik,A5036210470,fuzzy,,False,1,round4_maxpapers
2713,Yonina Eldar,A5005913897,alias,I53964585,False,1545,round4_maxpapers
2715,Robert Huber,A5072604023,alias,I9341345,True,434,round4_semtie
2719,Sebastian Sager,A5070436541,alias,I95793202,True,155,round4_semtie
2720,Bernd Rieger,A5048898725,alias,I98358874,True,162,round4_semtie
2734,Chun Huang,A5067895502,exact,I47508984,True,74,round4_semtie
2737,Alexandra Vallet,A5026237672,alias,,True,33,round4_semtie
2740,Sophia Haussener,A5041466191,exact,I5124864,True,249,round4_semtie
2751,Michele Marino,A5046964678,alias,I116067653,True,126,round4_semtie
2758,Carlos Mota,A5058979303,alias,I34352273,True,152,round4_semtie
2762,Pierre-Thomas Brun,A5113786632,exact,,True,56,round4_semtie
2766,Nils Goseberg,A5004995298,exact,I94509681,True,180,round4_semtie
2768,Michele Conti,A5069653622,alias,I25217355,True,223,round4_semtie
2778,Ciara Murphy,A5084598089,exact,,True,16,round4_semtie
2782,Richard Stevens,A5020935259,alias,I94624287,True,219,round4_semtie
2785,Maria Cristina Vicente Manzano,A5045235527,exact,,True,1,round4_semtie
2789,Ioannis Stefanou,A5037413847,alias,,True,159,round4_semtie
2796,Tom Breugelmans,A5060948708,alias,I149213910,True,161,round4_semtie
2800,Elie Hachem,A5005367331,exact,,True,263,round4_semtie
2806,Luisa De Marco,A5009922205,exact,,True,106,round4_semtie
2807,Andreas Fischer,A5054687195,exact,I180437899,True,653,round4_semtie
2813,Wei Cao,A5064243515,exact,I98381234,True,380,round4_semtie
2814,Ignazio Maria Viola,A5041519952,alias,I98677209,True,226,round4_semtie
2819,Gerasimos Konstantatos,A5000051253,exact,I179630473,True,186,round4_semtie
2822,Alexandra Teleki Sotiriou,A5086569597,fuzzy,,False,7,round4_maxpapers
2829,Agnese Seminara,A5079450620,exact,I83816512,True,85,round4_semtie
2845,Michael De Volder,A5027615173,alias,I241749,True,260,round4_semtie
2856,Marco Deluca,A5026281346,alias,I4210135925,True,124,round4_semtie
2861,Antonio Ambrosio,A5014616438,alias,I30771326,True,178,round4_semtie
2864,Francesco Scotognella,A5015787949,exact,I177477856,True,356,round4_semtie
2866,Nicolas Noiray,A5005160866,exact,I35440088,True,191,round4_semtie
