rid,us_name,authorid,match_type,host_id
1614,Xu Wang,A5100407816,exact,I27837315
1569,Yang Xiao,A5046618429,exact,I143302722
752,Sean P Colin,A5109236495,exact,I79839527
312,Sunil Mittal,A5022530317,exact,I12912129
1715,Zhongyang Li,A5067333147,alias,I140172145
1921,Eric Wong,A5066376294,alias,I79576946
2368,Linqing Li,A5031241359,exact,I161057412
2317,Xiang Chen,A5100441912,exact,I102149020
439,Pradeep Sharma,A5100620120,exact,I44461941
34,Zhenyu Gan,A5083017120,alias,I70983195
1859,Yunhui He,A5082790650,alias,I44461941
2914,Weitian Wang,A5031750708,exact,I166088655
463,Wei Zhang,A5100441502,alias,I63966007
291,Tong Huang,A5048703431,exact,I26538001
1610,Yang Zhang,A5100752838,exact,I137902535
1409,Sergio Gago Masague,A5024963270,alias,I204250578
1720,Lei Zhou,A5039043371,exact,I135310074
369,Xi Wang,A5100442220,exact,I86501945
1244,Yao Zheng,A5100342743,alias,I140172145
177,Gang Qiu,A5046303912,exact,I130238516
1953,Weiwen Jiang,A5103456104,alias,I162714631
2914,Weitian Wang,A5101767053,alias,I166088655
1320,Yan Wang,A5100322712,alias,I33213144
2251,Wen Chen,A5085836910,exact,I1174212
19,Shuna Ni,A5040240885,exact,I66946132
1246,Shuna Ni,A5040240885,exact,I66946132
631,Lars Hansen,A5028242520,alias,I130238516
1079,Pengcheng Dai,A5100705692,alias,I74775410
26,Lan Zhang,A5101469408,exact,I8078737
426,Yuanchao Xu,A5016606164,alias,I185103710
26,Lan Zhang,A5100322309,alias,I8078737
358,Lei Fan,A5103672652,alias,I44461941
2083,Saiprasad Ravishankar,A5111562177,alias,I87216513
218,Chen Sun,A5100722239,alias,I27804330
1329,Dena J Haritos Tsamitis,A5010284909,fuzzy,I74973139
1104,Ming L Tang,A5089836405,fuzzy,I223532165
1373,Di Fang,A5071221629,alias,I170897317
1610,Yang Zhang,A5059541194,alias,I137902535
2106,YANG YANG,A5100397657,exact,I26538001
631,Lars Hansen,A5028242520,exact,I130238516
1079,Pengcheng Dai,A5100705692,exact,I74775410
26,Lan Zhang,A5101469408,alias,I8078737
426,Yuanchao Xu,A5016606164,exact,I185103710
26,Lan Zhang,A5100322309,exact,I8078737
2083,Saiprasad Ravishankar,A5111562177,exact,I87216513
218,Chen Sun,A5100722239,exact,I27804330
1373,Di Fang,A5071221629,exact,I170897317
1610,Yang Zhang,A5059541194,exact,I137902535
2106,YANG YANG,A5100397657,alias,I26538001
1503,Victoria A Webster-Wood,A5007509117,fuzzy,I74973139
444,Cong Hao,A5053022655,exact,I130701444
1645,William B Ludington,A5053132852,fuzzy,I145311948
461,Donghee Yvette Wohn,A5040735139,alias,I118118575
2889,Jong Hyun Ham,A5008489344,exact,I134386540
2362,Laurent P Saloff-Coste,A5067207257,fuzzy,I205783295
1701,Yin Li,A5100451141,exact,I135310074
729,Jan P Stegemann,A5044948841,fuzzy,I27837315
1038,Benjamin K Blackman,A5059939053,fuzzy,I95457486
2265,Fabien Pinaud,A5060214768,alias,I1174212
2911,Ivan I Oleynik,A5065464997,fuzzy,I2613432
996,Sarah Hendricks,A5032967781,alias,I155093810
1240,John J Dennehy,A5007945304,fuzzy,I111455621
2320,Istvan Kovacs,A5000202774,alias,I111979921
2105,Kyle Chard,A5065464552,alias,I40347166
230,Adam P Summers,A5012847693,fuzzy,I201448701
1209,Jeffrey M Trop,A5017377136,fuzzy,I131221577
2912,Carmela Rosaria Guadagno,A5076569444,alias,I12834331
1302,Michael Ham,A5005763135,exact,I125467818
2523,Denise R Simmons,A5028862597,fuzzy,I33213144
1482,Cinnamon Hillyard,A5080796455,alias,I201448701
210,Brooke M Gardner,A5007386757,fuzzy,I154570441
1081,Brendan Hassett,A5025173159,alias,I27804330
2936,Laura Rabin,A5107297270,alias,I83041322
