rid,us_name,authorid,match_type,host_id,source,n_papers
8257,Eric Brustad,A5061902040,alias,I114027177,round2_inst,49
8258,Hope M Klug,A5013369642,fuzzy,I177097968,round2_inst,53
8259,Kirsten Wickelgren,A5083349882,exact,,name_unique,71
8261,Kimberly A Novick,A5002137519,fuzzy,I592451,round2_inst,215
8262,Kevin Z Leder,A5075829177,fuzzy,I130238516,round3_semantic,89
8264,Umut A Gurkan,A5019537430,fuzzy,I58956616,round2_inst,210
8265,Peng Qiu,A5041343853,exact,I130701444,round3_semantic,140
8266,Amit R Reddi,A5044996344,fuzzy,I130701444,round2_inst,63
8267,Jon N Seal,A5067680874,fuzzy,I221716585,round2_inst,40
8268,Benjamin R Handel,A5114036435,fuzzy,I1321305853,round2_inst,58
8269,Timothy Hoellein,A5060724374,alias,I1925986,round2_inst,87
8270,Jacob P Bedrossian,A5081815930,fuzzy,I66946132,round2_inst,130
8271,Edgar J Lobaton,A5024158572,fuzzy,I137902535,round2_inst,143
8272,Tzahi Cohen-Karni,A5043244497,alias,I74973139,round3_semantic,85
8274,Helena M Mentis,A5013430776,fuzzy,I79272384,round2_inst,131
8275,Wei Zhang,A5100441694,alias,I52357470,round3_semantic,182
8276,Douglas M Boyer,A5059749954,fuzzy,I170897317,round2_inst,313
8277,Renee R Frontiera,A5016827060,fuzzy,I130238516,round2_inst,104
8278,Miles A Pufall,A5026136298,fuzzy,I126307644,round2_inst,71
8279,Xaq Pitkow,A5057055829,exact,I181547552,round3_semantic,126
8280,Xiaodong Yang,A5006889441,alias,I20382870,round3_semantic,157
8281,Anastasios Matzavinos,A5065439199,exact,I27804330,round2_inst,49
8282,Xiang Zhang,A5060725887,alias,I58956616,round3_semantic,124
8283,Xia Zhou,A5101823589,exact,I107672454,round3_semantic,194
8284,Allison Bishop,A5104084176,exact,I78577930,round2_inst,37
8285,Kristin Yvonne Rozier,A5049964874,alias,I63135867,round2_inst,95
8286,Jeff Huang,A5103035835,exact,,round3_semantic,88
8287,Bulent Sarlioglu,A5054455747,exact,I135310074,round3_semantic,343
8288,Christian Kastner,A5067467896,exact,I74973139,round2_inst,379
8289,Behtash Babadi,A5041600605,exact,I66946132,round2_inst,130
8290,Brent J Hecht,A5005448339,fuzzy,I130238516,round2_inst,136
8291,Chung-Tse M Wu,A5070483139,fuzzy,I185443292,round3_semantic,141
8292,Jennifer M Heemstra,A5024031041,fuzzy,I223532165,round2_inst,106
8293,Zvonimir Rakamaric,A5021217615,exact,,name_unique,88
8294,Paul C Stoy,A5014483785,fuzzy,I23732399,round2_inst,344
8295,Desiree Plata,A5088028707,alias,I32971472,round2_inst,112
8296,Megan C Thielges,A5000130400,fuzzy,I592451,round2_inst,68
8297,Eric A Klein,A5038020531,fuzzy,I102322142,round3_semantic,54
8298,David Schuster,A5101677062,exact,I51504820,round2_inst,61
8299,Stephen Valentine,A5037830220,alias,I12097938,round2_inst,147
8300,Adrienn Ruzsinszky,A5007224077,exact,,name_unique,194
8301,Lars E Dietrich,A5064094344,fuzzy,I78577930,round2_inst,121
8302,Kevin B Wood,A5000026580,fuzzy,I27837315,round3_semantic,62
8303,Adrienne H Roeder,A5027540859,fuzzy,I205783295,round2_inst,139
8304,Qiong Yang,A5039071076,alias,I27837315,round3_semantic,54
8306,Kyumin Lee,A5103224637,exact,I121980950,round2_inst,115
8307,Jiantao Guo,A5021990264,alias,I114395901,round2_inst,103
8308,Ulya R Karpuzcu,A5018104631,fuzzy,I130238516,round2_inst,98
8309,Tara Hudiburg,A5009573971,alias,I155093810,round2_inst,121
8310,Nancy C Emery,A5084022452,fuzzy,I188538660,round3_semantic,87
8311,Mingjie Lin,A5060908808,alias,I106165777,round3_semantic,121
8312,Aaron T Becker,A5062449649,fuzzy,I44461941,round2_inst,246
8313,Ilia Karatsoreos,A5035410280,alias,I72951846,round2_inst,128
8314,Rebecca M Slayton,A5058989213,fuzzy,I205783295,round2_inst,47
8315,Shuchin Aeron,A5004738943,alias,I121934306,round3_semantic,208
8316,John Duchi,A5061331093,alias,I97018004,round2_inst,234
8319,Christine W Miller,A5038665164,fuzzy,I33213144,round3_semantic,103
8320,Daniel J McGarvey,A5027436472,fuzzy,I184840846,round2_inst,44
8321,Stacey D Smith,A5064173636,fuzzy,I188538660,round3_semantic,141
8322,Nathan Jacobs,A5029557305,alias,I143302722,round3_semantic,250
8323,David W Flaherty,A5062793974,fuzzy,I157725225,round2_inst,143
8324,Nilanjan Ray Chaudhuri,A5018418367,exact,I57328836,round2_inst,170
8326,Jenna Wiens,A5055037967,exact,,name_unique,153
8327,Matthew J Patitz,A5078778273,fuzzy,I78715868,round2_inst,162
8328,Sean Munson,A5068504623,alias,I201448701,round2_inst,203
8329,Ruzica Piskac,A5045794652,exact,I32971472,round2_inst,125
8330,Barzan Mozafari,A5060287971,alias,I27837315,round2_inst,82
8331,Aaron W Reinhard,A5091445259,fuzzy,I197312921,round2_inst,48
8333,Jinkyu Yang,A5084771702,alias,I201448701,round2_inst,204
8334,Anthony Gitter,A5083286341,exact,,name_unique,169
8335,Ying Zhang,A5010498463,exact,I17626003,round3_semantic,260
8336,Phanish Suryanarayana,A5087157004,exact,I130701444,round2_inst,202
8337,Aryeh Warmflash,A5022896439,exact,,name_unique,73
8338,Vivian E Ferry,A5032260910,fuzzy,I130238516,round2_inst,95
8339,Viveck R Cadambe,A5008627075,fuzzy,I130769515,round2_inst,151
8340,Cong T Trinh,A5022468384,fuzzy,I75027704,round2_inst,159
8341,Yohannes J Abate,A5075063025,fuzzy,I181565077,round2_inst,91
8342,Steven M Chase,A5083602839,fuzzy,I74973139,round2_inst,81
8343,Patrick Alford,A5009817534,alias,I130238516,round3_semantic,59
8344,Amlan Ganguly,A5051765631,alias,I155173764,round3_semantic,89
8345,Lydia E Tapia,A5060753774,fuzzy,I169521973,round2_inst,83
8346,Shan Lin,A5003166096,alias,I59553526,round3_semantic,131
8348,Ali Mani,A5066321909,exact,I97018004,round2_inst,292
8350,Xiaoning Qian,A5073946580,exact,,round3_semantic,325
8351,Stefanie Jegelka,A5085699861,exact,I63966007,round2_inst,249
8352,Paul T Bauman,A5022068252,fuzzy,I63190737,round2_inst,76
8353,Daniel M Kane,A5035962853,fuzzy,I36258959,round2_inst,431
8354,Yana Bromberg,A5089912529,exact,I102322142,round2_inst,138
8356,Amir Houmansadr,A5018588864,alias,I24603500,round2_inst,172
8357,Yao Liu,A5100463098,alias,I2613432,round3_semantic,100
8358,Jeffrey J Tabor,A5004936955,fuzzy,I74775410,round2_inst,75
8359,Guoning Chen,A5055426585,exact,I44461941,round3_semantic,180
8360,Xiaolong Luo,A5030247401,alias,I84470341,round2_inst,159
8361,Gordon Wetzstein,A5014044649,exact,,name_unique,455
8362,Michael Reese,A5017968230,alias,I867280407,round2_inst,59
8363,Jia L Song,A5088609494,fuzzy,I86501945,round2_inst,61
8364,Stacy Patterson,A5081738999,exact,,name_unique,143
8365,Alexa L Mattheyses,A5078821139,fuzzy,I150468666,round2_inst,112
8366,Esther Ezra,A5089313525,alias,I130701444,round2_inst,114
8367,Maryam Ghazisaeidi,A5039350726,exact,I52357470,round2_inst,72
8368,Wilson Wong,A5015981980,alias,I111088046,round2_inst,140
8369,Andrew Peterson,A5049777382,alias,I27804330,round2_inst,137
8373,Christopher Jett,A5009168772,alias,I5950314,round2_inst,43
8374,Jing Chen,A5100394906,alias,I59553526,round3_semantic,66
8375,Wei Gao,A5006292758,alias,I75027704,round3_semantic,136
8376,Kylie A Peppler,A5059999110,fuzzy,I592451,round2_inst,202
8377,Na Li,A5100368048,alias,I136199984,round3_semantic,641
8378,Jill Anderson,A5046399976,alias,,round3_semantic,92
8380,Siddharth Garg,A5010950688,alias,I57206974,round2_inst,314
8381,Mukul Bansal,A5024793976,alias,I140172145,round2_inst,94
8382,Aleksander Madry,A5032574693,exact,,name_unique,188
8383,Shadow Huang,A5040757627,alias,I137902535,round3_semantic,69
8384,James Shackleford,A5051583104,exact,I72816309,round2_inst,413
8385,Prateek Mittal,A5015619835,exact,I20089843,round3_semantic,285
8386,Nicole E Seiberlich,A5036171819,fuzzy,I58956616,round2_inst,186
8387,Dimitrios Koutsonikolas,A5002416672,alias,I63190737,round2_inst,150
8388,Sewoong Oh,A5028243041,exact,I157725225,round2_inst,342
8389,Bianca Viray,A5052639660,exact,I201448701,round2_inst,59
8390,Katherine A Heller,A5014018142,fuzzy,I170897317,round2_inst,157
8391,Tiark Rompf,A5003153354,exact,,name_unique,140
8392,Jon M Hathaway,A5000346184,fuzzy,I75027704,round2_inst,120
8393,Thomas Vidick,A5019616211,alias,I122411786,round2_inst,254
8395,Jason Mars,A5053236545,alias,I27837315,round3_semantic,142
8396,George Porter,A5053471164,alias,I36258959,round3_semantic,100
8397,Arif I Sarwat,A5010427742,fuzzy,I19700959,round2_inst,269
8398,Donatello Materassi,A5058663513,alias,I75027704,round2_inst,120
8399,Hans-Henning Kunz,A5060258733,exact,I72951846,round3_semantic,59
8400,Rezaul A Chowdhury,A5025290203,fuzzy,I59553526,round2_inst,98
8401,LEE C BASSETT,A5000528762,fuzzy,I79576946,round2_inst,119
8402,Candace K Chan,A5056620587,fuzzy,I55732556,round2_inst,209
8403,Assefaw H Gebremedhin,A5049685547,fuzzy,I72951846,round2_inst,108
8404,John P McCutcheon,A5024240786,fuzzy,I6750721,round2_inst,79
8405,Wolfgang Gatterbauer,A5086781628,exact,,name_unique,121
8406,Rohit Chadha,A5068396440,exact,I76835614,round2_inst,78
8407,Craig McGowan,A5027656559,alias,I155093810,round2_inst,84
8408,Lauren Tompkins,A5107898034,alias,I97018004,round3_semantic,155
8409,Brandon E Ross,A5035663355,fuzzy,I8078737,round2_inst,95
8410,Hongning Wang,A5085094109,alias,I51556381,round3_semantic,248
8411,Bonita Sharif,A5045476556,alias,I161203489,round2_inst,109
8412,Alexander Barnes,A5077618686,alias,I204465549,round2_inst,116
8413,Ymir Vigfusson,A5050595999,exact,,name_unique,73
8414,Marie Coppola,A5029953031,alias,I140172145,round2_inst,73
8415,Ryan Abernathey,A5001142820,alias,I78577930,round2_inst,220
8416,Raghu Meka,A5044675813,exact,,name_unique,176
8417,Claire White,A5041830746,alias,I20089843,round2_inst,193
8418,Matthew Stamm,A5023433042,alias,I72816309,round2_inst,102
8420,Natalia Shustova,A5021115977,alias,I155781252,round2_inst,372
8422,Christian Linder,A5039446428,alias,I97018004,round2_inst,206
8423,Dong Li,A5100407387,alias,I156087764,round3_semantic,112
8424,Ting Lu,A5083272185,alias,I157725225,round3_semantic,141
8425,Maryanthe Malliaris,A5089741493,alias,I40347166,round3_semantic,67
8426,Haruka Wada,A5055206313,alias,I82497590,round2_inst,71
8427,Ayse Asatekin,A5014653234,exact,,name_unique,85
8430,Alvaro A Cardenas,A5016892225,fuzzy,I162577319,round2_inst,199
8431,Sangmi L Pallickara,A5072618060,fuzzy,I92446798,round2_inst,113
8432,Junzhou Huang,A5068865316,alias,I189196454,round2_inst,517
8433,Blake Riggs,A5081306942,exact,,name_unique,37
8434,Ram N Krishnan,A5085555416,fuzzy,,round3_semantic,111
8435,William Zahner,A5011558553,exact,,name_unique,42
8436,Abigail L Swann,A5078351181,fuzzy,I201448701,round2_inst,147
