rid,aus_name,authorid,match_type,host_id,passed,n_papers,source
1396,Wenhui Duan,A5068445233,exact,I56590836,True,289,round4_semtie
1402,Rajkumar Buyya,A5014716105,alias,I165779595,True,1403,round4_semtie
1410,Timothy Baldwin,A5103085805,alias,I165779595,True,449,round4_semtie
1412,Aristides Gionis,A5022164041,exact,,True,375,round4_semtie
1424,Stephanie Gras,A5088068626,exact,I56590836,True,191,round4_semtie
1426,Michael Piper,A5086214764,alias,I165143802,True,160,round4_semtie
1430,Jason Potts,A5042648415,exact,I82951845,True,408,round4_semtie
1432,Jennifer Corrin,A5001390703,exact,I165143802,True,150,round4_semtie
1436,Hongxia Wang,A5100373271,exact,I160993911,True,469,round4_semtie
1440,Stuart Bedford,A5058468175,alias,I118347636,True,171,round4_semtie
1443,Seok-Hee Hong,A5071834503,exact,I129604602,True,209,round4_semtie
1459,Jan Rueger,A5008500105,alias,,True,16,round4_semtie
1467,Scott Brown,A5074709577,exact,I78757542,True,373,round4_semtie
1471,Heng Tao Shen,A5052993469,exact,I165143802,True,703,round4_semtie
1475,Thomas Carlson,A5016939139,alias,I129604602,True,414,round4_semtie
1478,Matthew Burke,A5077531936,alias,I11701301,True,170,round4_semtie
1482,Cyrille Boyer,A5001395511,alias,I31746571,True,497,round4_semtie
1484,Tao Liu,A5100338122,alias,I31746571,True,9471,round4_semtie
1488,Simon Avenell,A5050138968,exact,I118347636,True,88,round4_semtie
1491,Roshanka Ranasinghe,A5045322252,exact,,True,268,round4_semtie
1495,Derek Abbott,A5040978000,alias,I5681781,True,1079,round4_semtie
1496,Qing Li,A5100404176,exact,I129604602,True,2449,round4_semtie
1501,Chunhua Shen,A5006294869,exact,I5681781,True,860,round4_semtie
1503,Catherine Mills,A5101505715,alias,I56590836,True,94,round4_semtie
1506,Gita Mishra,A5070105243,alias,I165143802,True,487,round4_semtie
1507,Xuehua Zhang,A5001457988,exact,I82951845,True,521,round4_semtie
1510,Bayden Wood,A5044253971,alias,I56590836,True,295,round4_semtie
1515,Michele Ford,A5057635394,alias,I129604602,True,180,round4_semtie
1520,Richard Fuller,A5036770672,alias,I165143802,True,403,round4_semtie
1526,Marcus Meinzer,A5068847747,exact,I165143802,True,165,round4_semtie
1532,Lianzhou Wang,A5100385100,alias,I165143802,True,1602,round4_semtie
1545,Alexander Heger,A5035138469,alias,I56590836,True,486,round4_semtie
1573,Zhi Ping Xu,A5100699454,exact,I165143802,True,569,round4_semtie
1577,Budiman Minasny,A5051455406,exact,I129604602,True,616,round4_semtie
1589,Marc Oxenham,A5075258991,alias,I118347636,True,168,round4_semtie
1590,Baoping Li,A5073301336,alias,,True,272,round4_semtie
1593,Min Chen,A5010191340,alias,I129604602,True,214,round4_semtie
1600,Tong Lin,A5100769666,exact,I149704539,True,391,round4_semtie
1601,Rui Zhang,A5100422092,exact,I165779595,True,654,round4_semtie
1614,James Bailey,A5031013029,alias,I165779595,True,536,round4_semtie
1617,Mark Pelusi,A5056111604,alias,I129604602,True,237,round4_semtie
1663,Ben Saul,A5047825662,exact,I129604602,True,247,round4_semtie
1667,Dusan Losic,A5003652299,exact,I5681781,True,499,round4_semtie
1679,Lan Fu,A5054231666,alias,I118347636,True,323,round4_semtie
1682,Bronwen Morgan,A5004638634,exact,I31746571,True,119,round4_semtie
1692,Assa Doron,A5086532477,alias,I118347636,True,89,round4_semtie
1702,Christopher Blake,A5108678374,alias,,True,80,round4_semtie
1704,Hark Hoe Tan,A5059240816,exact,I118347636,True,1175,round4_semtie
1710,Changhai Ding,A5029946717,exact,I129801699,True,584,round4_semtie
1713,Cordelia Fine,A5029372639,exact,I165779595,True,61,round4_semtie
1729,Duk-Yong Choi,A5004914333,exact,I118347636,True,514,round4_semtie
1744,Gabriel Molina Terriza,A5083339333,alias,I99043593,True,164,round4_semtie
1745,Douglas Kahn,A5108670592,alias,I31746571,True,231,round4_semtie
1750,Robert Hester,A5087092731,exact,I165779595,True,170,round4_semtie
1753,Dan Li,A5100380810,exact,I56590836,True,1077,round4_semtie
1768,Michael Smith,A5050357458,alias,I165779595,True,276,round4_semtie
1771,Robert Horvath,A5017359970,alias,I196829312,True,79,round4_semtie
1786,Daniel Macdonald,A5077826305,exact,I118347636,True,459,round4_semtie
1794,Ryan Lowe,A5038882588,exact,I177877127,True,298,round4_semtie
1822,Xiu Song Zhao,A5100445703,alias,I165143802,True,982,round4_semtie
1823,Sean Li,A5044978302,alias,I31746571,True,500,round4_semtie
1824,Peter Tuthill,A5016960997,exact,I129604602,True,455,round4_semtie
1825,Elaine Wong,A5044922102,exact,I165779595,True,324,round4_semtie
1829,Graham Hughes,A5008335665,exact,I118347636,True,118,round4_semtie
1847,Hilde Tubex,A5045262132,exact,I177877127,True,114,round4_semtie
1857,Helen MacDonald,A5010635935,alias,I165779595,True,45,round4_semtie
1881,Robert Sparrow,A5003388479,alias,I56590836,True,149,round4_semtie
1882,Maria Lugaro,A5036569027,exact,I56590836,True,373,round4_semtie
1898,David Beattie,A5008865748,alias,I170239107,True,140,round4_semtie
1903,Stephen Williams,A5045174960,alias,I165143802,True,1827,round4_semtie
1905,Melinda Cooper,A5081203523,exact,I129604602,True,94,round4_semtie
1907,Ingrid van der Mei,A5071467218,exact,I129801699,True,303,round4_semtie
1916,Adrian Sheppard,A5007352291,exact,I118347636,True,241,round4_semtie
1923,Nicholas Aroney,A5076654804,alias,I165143802,True,432,round4_semtie
