rid,aus_name,authorid,sci_name,match_type
1601,Rui Zhang,A5100422103,Rui Zhang,alias
693,Jun Li,A5100361875,Jun Li,alias
1793,Daniel Murphy,A5039849825,Daniel R. Murphy,alias
972,Kai He,A5100749795,Kai He,alias
619,Guo Chen,A5100445750,Guo Chen,alias
2000,Jian Li,A5100704506,Jian Li,alias
240,Yang Liu,A5100356241,Yang Liu,alias
435,Wenjie Zhang,A5100385501,Wenjie Zhang,alias
324,Zhe Liu,A5021605613,Zhe Liu,alias
419,Li Wei,A5100317978,Wei Li,alias
1022,Simon Butt,A5113460872,Simon Butt,alias
320,Zhi-Gang Chen,A5100332251,Zhigang Chen,alias
240,Yang Liu,A5100664942,Yang Liu,alias
831,Ying Zhang,A5100386084,Ying Zhang,alias
1154,Bo Li,A5100677409,Bo Li,alias
492,Zhi Li,A5100770317,Zhi Li,alias
693,Jun Li,A5100361843,Jun Li,alias
2000,Jian Li,A5100402572,Jian Li,alias
693,Jun Li,A5100361659,Jun Li,alias
1805,Clive Schofield,A5090985498,Clive Schofield,alias
1601,Rui Zhang,A5100422061,Rui Zhang,alias
1484,Tao Liu,A5100357450,Tao Liu,alias
240,Yang Liu,A5100356055,Yang Liu,alias
873,Song Yao,A5003350728,Song Yao,alias
1753,Dan Li,A5100380809,Dan Li,alias
492,Zhi Li,A5100382219,Zhi Li,alias
242,Zhiliang Wang,A5100343129,Zhiliang Wang,alias
492,Zhi Li,A5100382226,Zhi Li,alias
260,Wenxian Li,A5100744443,Wenxian Li,alias
1154,Bo Li,A5100678155,Bo Li,alias
130,Xi Zheng,A5100533697,Xi Zheng,alias
240,Yang Liu,A5100356239,Yang Liu,alias
1496,Qing Li,A5100404108,Qing Li,alias
1154,Bo Li,A5100343687,Bo Li,alias
573,Dan Liu,A5100326822,Dan Liu,alias
1753,Dan Li,A5100380714,Dan Li,alias
231,Yi Liu,A5100330458,Yi Liu,alias
1484,Tao Liu,A5100667354,Tao Liu,alias
921,Yuan Chen,A5100400923,Yu-An Chen,alias
2000,Jian Li,A5100694099,Jian Li,alias
573,Dan Liu,A5100326860,Dan Liu,alias
1026,Zhou Zhang,A5100397157,Zhou Zhang,alias
1020,Edward Taylor,A5112295976,Edward Taylor,alias
800,Hao Liu,A5100458745,Hao Liu,alias
1342,Matthew Hill,A5062926594,Matthew P. Hill,alias
240,Yang Liu,A5100356234,Yang Liu,alias
1830,Ian Wright,A5112434865,Ian K. Wright,alias
419,Li Wei,A5100656539,Ranran Liu,alias
693,Jun Li,A5100779594,Jun Li,alias
729,Michael Murphy,A5112196397,Michael Murphy,alias
831,Ying Zhang,A5100386267,Ying Zhang,alias
87,Gang Li,A5100664640,Gang Li,alias
240,Yang Liu,A5100355940,Yang Liu,alias
693,Jun Li,A5100361686,Jun Li,alias
240,Yang Liu,A5100355913,Yang Liu,alias
831,Ying Zhang,A5100386137,Ying Zhang,alias
240,Yang Liu,A5100355736,Yang Liu,alias
103,Jun Zhang,A5100433220,Jun Zhang,alias
1368,Xiaolin Wang,A5100672829,Zefeng Wang,alias
240,Yang Liu,A5100355649,Yang Liu,alias
2095,Linda Bennett,A5110812869,Linda Bennett,alias
1982,Yuan Feng,A5061624427,Yuan Feng,alias
419,Li Wei,A5100318226,Wei Li,alias
2003,Charles Warren,A5043309483,Charles Warren,alias
831,Ying Zhang,A5100608459,Ying Zhang,alias
1601,Rui Zhang,A5100421964,Rui Zhang,alias
231,Yi Liu,A5100330440,Yi Liu,alias
1154,Bo Li,A5100374515,Bo Li,alias
1433,Rob Atkin,A5103774349,Atkin Rob,alias
240,Yang Liu,A5075084839,Yang Liu,alias
1898,David Beattie,A5081738426,Beattie David,alias
618,Ryan Shannon,A5007888234,Shannon Ryan,alias
492,Zhi Li,A5003779537,Zhili,alias
621,Yang Song,A5103963781,Yang Ho Song,alias
103,Jun Zhang,A5101911568,Jun Zhang,alias
270,Julie Brown,A5024906956,Julie D. Brown,alias
921,Yuan Chen,A5104126195,Chen Yuan,alias
1478,Matthew Burke,A5049786623,Matthew Burke,alias
1202,Guoyin Li,A5103707487,Guo-Yin Li,alias
89,Xin Cao,A5103052962,Xin Xin Cao,alias
1496,Qing Li,A5104140336,Qing Li,alias
240,Yang Liu,A5103897336,Yang Liu,alias
831,Ying Zhang,A5100386071,Ying Zhang,alias
189,Chen Li,A5079567572,C Li,alias
962,Anna Hickey-Moody,A5103593770,Anna Hickey Moody,alias
103,Jun Zhang,A5071220282,Jun Zhang,alias
693,Jun Li,A5101929464,Jun Li,alias
419,Li Wei,A5103287219,Wei Li,alias
136,Min Xu,A5100927507,Xu Min,alias
409,Christopher Hall,A5102184870,Christopher Hall,alias
240,Yang Liu,A5103147775,Yang Liu,alias
419,Li Wei,A5036826074,Wei Li,alias
123,Jun Li,A5101434100,Jun Li,alias
693,Jun Li,A5102382471,Jun Li,alias
123,Jun Li,A5102913581,Jun Li,alias
2204,Jie Zhang,A5100709985,Jie Zhang,alias
218,Ling Chen,A5082784052,Ling Chen,alias
831,Ying Zhang,A5100307661,ZHANG Ying,alias
492,Zhi Li,A5100308396,Zhi Li,alias
706,Yvonne Wong,A5092109346,Yvonne Wong,alias
1334,Paul Jackson,A5092137936,Paul Jackson,alias
1803,Sarah Johnson,A5092493262,Sarah Johnson,alias
1803,Sarah Johnson,A5092493600,Sarah Johnson,alias
1803,Sarah Johnson,A5092493732,Sarah Johnson,alias
1496,Qing Li,A5107935826,Qing Li,alias
320,Zhi-Gang Chen,A5012507515,Zhi-gang CHEN,alias
1020,Edward Taylor,A5100201179,Edward Taylor,alias
279,Chang Xu,A5101143673,Xu Chao-yuan Liu Chang,alias
621,Yang Song,A5101009615,Yang Song,alias
621,Yang Song,A5101031602,Song Yang,alias
419,Li Wei,A5104678483,Wei Li,alias
231,Yi Liu,A5108753933,Liu Yi,alias
800,Hao Liu,A5099588055,Hao Liu,alias
240,Yang Liu,A5107797278,Yang Liu,alias
103,Jun Zhang,A5099864785,Jun Zhang,alias
1353,Susan Broomhall,A5099885741,Susan Broomhall,alias
1027,Alfonso Garcia-Bennett,A5041864855,Garcia-Bennett Alfonso,alias
5,Aude Bernard,A5104198472,Aude Bernard,alias
1029,Hui Feng,A5104416325,Hui Feng,alias
729,Michael Murphy,A5096957663,Michael Murphy,alias
135,Andrew King,A5102441284,Andrew King,alias
87,Gang Li,A5100438681,Gang Li,alias
450,Morten Andersen,A5063259960,Morten Andersen,alias
835,John Moses,A5110687898,John Moses,alias
2014,Brett Collins,A5110204694,Brett Collins,alias
419,Li Wei,A5100317983,Wei Li,alias
509,Jonathan Rhodes,A5110012006,Jonathan Rhodes,alias
1154,Bo Li,A5100374379,Bo Li,alias
419,Li Wei,A5110194009,Li-Wei Ma .,alias
728,Jian Yang,A5110471806,Yang Jian,alias
1154,Bo Li,A5103660112,Li Bo,alias
666,Andrew Cox,A5035337558,Andrew R. Cox,alias
512,Haiqing Yu,A5100857494,Haiqing Yu,alias
447,Meghan Miller,A5055869484,Meghan Miller,alias
102,Xu Huang,A5058959907,Xu HUANG,alias
690,Kate Macdonald,A5064340848,Kate MacDonald,alias
720,Dong Xu,A5065866813,Dong Xu,alias
1838,Matthew Sweet,A5017352552,Matthew P. Sweet,alias
728,Jian Yang,A5032721803,Jian Yang,alias
1484,Tao Liu,A5085916125,Tao Liu,alias
2040,Quentin Stevens,A5070404382,Quentin Stevens,alias
515,Simon Williams,A5054191967,Simon F. Williams,alias
1700,Kate Shaw,A5081123337,Kate M. Shaw,alias
135,Andrew King,A5003865547,Andrew King,alias
2023,Laurajane Smith,A5109716663,Laurajane Smith,alias
387,Sarina Sarina,A5005485568,Sarina Sarina,alias
1601,Rui Zhang,A5114686185,Zhang Rui,alias
1936,Stephen Turner,A5115569743,Stephen Turner,alias
720,Dong Xu,A5109111768,Dong Xu,alias
1397,Andrew Anderson,A5019195425,Andrew O. Anderson,alias
353,Kang Liang,A5016243354,Liang Kang,alias
123,Jun Li,A5088380345,Jun Li,alias
11,David Byrne,A5035383282,David Byrne,alias
1559,Yonghui Li,A5075817217,yonghui li,alias
540,David White,A5069962341,David I. White,alias
240,Yang Liu,A5102068741,Liu Yang,alias
1371,John Hellstrom,A5113990615,John Hellström,alias
1768,Michael Smith,A5038917961,Michael Smith,alias
419,Li Wei,A5101681773,Wei Li,alias
240,Yang Liu,A5101501793,Liu Yang,alias
20,Rajeev Roychand,A5096171009,Rajeev Roychand,alias
2085,David White,A5043180808,David White,alias
2204,Jie Zhang,A5100436690,Jie Zhang,alias
419,Li Wei,A5108957109,Wei Li,alias
