rid,aus_name,authorid,match_type,host_id
1989,Catherine Waldby,A5053202470,alias,I129604602
633,Timothy Verhoeven,A5109560758,exact,I56590836
2046,Jonathan Schaffer,A5101490473,alias,I118347636
474,Jelena Rnjak-Kovacina,A5068806602,exact,I31746571
313,Natalie Harkin,A5060714128,alias,I169541294
1790,Maryrose Casey,A5022616435,exact,I56590836
2011,Maria Nugent,A5021570335,exact,I118347636
921,Yuan Chen,A5029855289,exact,I129604602
1732,Stephen Lack,A5073756839,alias,I99043593
488,Baohua Jia,A5082109788,exact,I82951845
2000,Jian Li,A5100402566,alias,I56590836
1250,Anna Johnston,A5033695877,exact,I165143802
1997,Baolin Wang,A5100648292,alias,I63525965
108,Xingliang Yuan,A5064553444,alias,I165779595
853,Chunle Xiong,A5102906724,alias,I118347636
1600,Tong Lin,A5113997626,exact,I149704539
693,Jun Li,A5022445441,exact,I205640436
940,Jiabao Yi,A5113240019,exact,I78757542
394,Alan Gamlen,A5059015746,exact,I118347636
298,Christian Schwab,A5102733220,exact,I99043593
1496,Qing Li,A5100404169,alias,I129604602
369,Jun Huang,A5084969567,exact,I129604602
216,Jin Zhang,A5100735527,exact,I31746571
216,Jin Zhang,A5100406025,alias,I31746571
1322,Yongping Wei,A5101560643,exact,I165143802
1898,David Beattie,A5084392266,exact,I170239107
2069,David Wilson,A5045627685,alias,I31746571
578,Megan MacKenzie,A5075458228,exact,I129604602
1495,Derek Abbott,A5091173801,exact,I5681781
575,Dana Kulic,A5016076042,alias,I56590836
87,Gang Li,A5101852349,exact,I165779595
809,Jon McCormack,A5103561330,exact,I56590836
132,Hang Ta,A5112906193,exact,I11701301
699,Cameron Shearer,A5108966179,exact,I5681781
123,Jun Li,A5100361748,exact,I114017466
1484,Tao Liu,A5100722458,exact,I31746571
1496,Qing Li,A5100404005,alias,I129604602
1333,David Evans,A5101628338,alias,I165143802
800,Hao Liu,A5100458791,alias,I114017466
693,Jun Li,A5100362036,exact,I205640436
2141,Andrew Martin,A5087547134,exact,I31746571
1121,Susan Harris Rimmer,A5103595697,alias,I11701301
1105,Andrea Rizzi,A5100562044,exact,I165779595
1334,Paul Jackson,A5050242178,alias,I5681781
1007,Fiona Barlow,A5037225650,alias,I165143802
751,Cathryn Trott,A5045219389,alias,I205640436
626,Natasha Hurley-Walker,A5045567359,alias,I205640436
786,Yi Du,A5055715913,alias,I204824540
2204,Jie Zhang,A5100436868,exact,I56590836
1928,Farida Fozdar,A5087772044,exact,I177877127
737,Matthew Hall,A5015379633,exact,I56590836
1725,Norelle Daly,A5080112340,alias,I86467917
1869,Christian Doonan,A5083099327,alias,I5681781
949,Yit Heng Chooi,A5043215577,exact,I177877127
314,Andrew Zalesky,A5031170774,exact,I165779595
1614,James Bailey,A5101609697,exact,I165779595
721,Karl Hassan,A5062811599,alias,I78757542
1180,Julie Smith,A5051034534,exact,I118347636
115,Girish Lakhwani,A5069626817,exact,I129604602
1850,Livia Hool,A5023899010,alias,I177877127
1536,Gerhard Schenk,A5026257435,exact,I165143802
1866,Elizabeth Scarr,A5063663165,exact,I165779595
963,Brendan Zietsch,A5089364263,alias,I165143802
1949,Alexander Broom,A5091798597,alias,I165143802
1266,Pilar Blancafort,A5022898788,alias,I177877127
1131,Stephen Bell,A5027128497,alias,I5681781
1767,Christopher Kellett,A5022096550,alias,I78757542
249,Serena Dipierro,A5051228281,alias,I177877127
1439,Paul Adlard,A5023428581,alias,I242743682
2143,Margaret Kelaher,A5084201756,exact,I165779595
2079,Ranjeny Thomas,A5060328058,exact,I165143802
2012,Timothy Duty,A5082753513,alias,I31746571
2209,Andrew Baird,A5064642955,alias,I86467917
1612,Gavin Conibeer,A5016304583,alias,I31746571
1351,Spencer Williams,A5021413336,alias,I165779595
1717,Robyn Langdon,A5024711241,exact,I99043593
2074,Jean Yang,A5028524705,exact,I129604602
2105,Michael Bunce,A5085536018,alias,I205640436
2155,Michael Brear,A5006784611,alias,I165779595
50,Hamid Laga,A5002077138,exact,I176790772
1410,Timothy Baldwin,A5060332228,exact,I165779595
931,Megan Head,A5017382822,alias,I118347636
2189,Todd Lane,A5002345305,alias,I165779595
1774,Guoxiu Wang,A5007273016,alias,I114017466
1889,Evatt Hawkes,A5068312712,alias,I31746571
1376,Dayong Jin,A5100633582,alias,I114017466
2214,Elizabeth Hartland,A5051887598,alias,I165779595
453,Nicholas White,A5020302210,alias,I118347636
413,Katherine Moseby,A5081405470,alias,I31746571
2047,Georg Gottwald,A5075677942,fuzzy,I129604602
2142,Michael Ostwald,A5029144226,alias,I78757542
513,Kathryn Allen,A5072517470,exact,I129801699
870,Scott Johnson,A5027714089,alias,I63525965
2217,Gary Luck,A5022028487,alias,I153230381
71,Andrew Walker,A5044203426,alias,I165143802
1839,David McGuinness,A5013000968,alias,I129801699
1621,Selena Bartlett,A5103102064,alias,I160993911
17,Maxim Goryachev,A5106084715,exact,I177877127
1429,Orsola De Marco,A5057362556,alias,I99043593
775,Melissa Merritt,A5034206120,alias,I31746571
327,Lei Ge,A5041714665,exact,I185523456
84,Anusha Withanage Don,A5047568623,alias,I129604602
621,Yang Song,A5041567418,exact,I31746571
326,Charles Cox,A5044436273,alias,I31746571
1054,Ian Hardy,A5078309034,exact,I165143802
845,Chuan Zhao,A5050731758,exact,I31746571
310,Loic Yengo,A5025712490,exact,I165143802
2141,Andrew Martin,A5017756615,alias,I31746571
2088,Ba-Ngu Vo,A5072792589,exact,I205640436
257,Carly Cook,A5000097862,alias,I56590836
534,Bin Luo,A5075000300,exact,I165143802
123,Jun Li,A5100362062,exact,I114017466
1311,Gabriel da Silva,A5004403965,alias,I165779595
299,Luis Pedro Coelho,A5078114370,alias,I160993911
1719,Travis Klein,A5072967810,alias,I160993911
218,Ling Chen,A5100411139,alias,I114017466
1816,Michael Davies,A5024193480,alias,I5681781
2073,Brett Garner,A5030922535,exact,I204824540
839,Kosala Ranathunge,A5016087814,exact,I177877127
1090,Dennis Stello,A5031187863,exact,I31746571
1190,Megan Ryan,A5070190769,alias,I177877127
285,Zihua Guo,A5014535747,alias,I56590836
1716,Sarah Pryke,A5007410963,alias,I118347636
909,Kavan Modi,A5053776631,exact,I56590836
1818,Gregory Lane,A5102996036,alias,I118347636
37,Liton Kamruzzaman,A5034994970,alias,I56590836
1886,Andrew Harris,A5024439180,alias,I129604602
681,Susan Baker,A5004564974,alias,I129801699
90,Zengxia Pei,A5060068223,exact,I129604602
1305,Sam Banks,A5029427851,fuzzy,I118347636
1176,Ajay Narendra,A5027429235,alias,I99043593
627,Lisa Ford,A5073093675,exact,I31746571
1858,Evan Moore,A5057877864,alias,I165143802
1084,Arkady Fedorov,A5084198938,alias,I165143802
1302,Alexander Fornito,A5051838519,alias,I56590836
1553,Jason Sharman,A5113603494,alias,I11701301
457,Carol Farbotko,A5006505407,exact,I11701301
2008,Zongping Shao,A5101927500,alias,I205640436
2193,Xuchuan Jiang,A5102723597,alias,I56590836
740,Louise Cheng,A5053998048,alias,I165779595
1145,Emma Baker,A5015318736,exact,I5681781
1796,Gyorgy Hutvagner,A5012268284,alias,I114017466
419,Li Wei,A5100318368,alias,I129604602
268,Daniel Tubbenhauer,A5016692246,exact,I129604602
135,Andrew King,A5033570737,alias,I165779595
321,Amanda Harris,A5027481123,alias,I129604602
835,John Moses,A5076415694,fuzzy,I196829312
419,Li Wei,A5100763560,alias,I129604602
967,Jorge Fernandez Martinez,A5100656902,fuzzy,I5681781
231,Yi Liu,A5100694930,exact,I31746571
643,Renee Jeffery,A5020786862,exact,I11701301
889,Jacinda Ginges,A5034714752,alias,I165143802
398,Darren Croton,A5108584413,alias,I57093077
572,Neeraj Sharma,A5100437499,exact,I31746571
2000,Jian Li,A5100726736,exact,I56590836
2123,Lachlan Andrew,A5011921013,alias,I56590836
189,Chen Li,A5060481541,fuzzy,I56590836
281,Phillip Pope,A5034320292,alias,I160993911
2069,David Wilson,A5033019802,fuzzy,I31746571
478,Sally Potter,A5043031610,alias,I99043593
111,Martijn Konings,A5109331747,exact,I129604602
1601,Rui Zhang,A5100422017,alias,I165779595
1233,Nicole Moore,A5057994629,exact,I31746571
1227,Martin Hill,A5102723119,alias,I177877127
1617,Mark Pelusi,A5103059231,alias,I129604602
573,Dan Liu,A5100326855,exact,I82951845
1970,Michael Brown,A5019359008,alias,I56590836
2141,Andrew Martin,A5101878942,alias,I31746571
283,Dragoslav Vidovic,A5083998405,alias,I56590836
50,Hamid Laga,A5108135954,exact,I176790772
800,Hao Liu,A5101815591,exact,I114017466
1436,Hongxia Wang,A5036603992,exact,I160993911
1970,Michael Brown,A5022196917,alias,I56590836
419,Li Wei,A5100604280,alias,I129604602
554,Yinghui Tian,A5102758003,alias,I165779595
1273,Jingliang Li,A5110488978,alias,I149704539
2008,Zongping Shao,A5105123203,exact,I205640436
1488,Simon Avenell,A5050138968,alias,I118347636
2058,Peter Czabotar,A5004667495,fuzzy,I196021976
712,Luca Cortese,A5110971412,exact,I177877127
1039,Yusuke Yamauchi,A5109591227,exact,I165143802
1594,Patrick Baker,A5075830167,exact,I165779595
145,Hongyi Xu,A5031446445,alias,I118347636
746,James Hutchison,A5113654378,alias,I165779595
1882,Maria Lugaro,A5108735454,alias,I56590836
1440,Stuart Bedford,A5090817287,alias,I118347636
621,Yang Song,A5083873109,alias,I31746571
1817,Zane Andrews,A5108121167,fuzzy,I56590836
2000,Jian Li,A5100402540,alias,I56590836
1834,Michael McCarthy,A5052568377,alias,I165779595
473,Rosalind Dixon,A5011901751,alias,I31746571
106,Georgios Konstantinou,A5106071771,fuzzy,I31746571
219,Tu'uhevaha Kaitu'u-Lino,A5108965242,alias,I165779595
419,Li Wei,A5100401808,alias,I129604602
1794,Ryan Lowe,A5013308771,alias,I177877127
1370,Suzanne Miller,A5102452866,fuzzy,I56590836
800,Hao Liu,A5100338921,alias,I114017466
612,Daniel Burgarth,A5112448306,exact,I99043593
419,Li Wei,A5065263586,alias,I129604602
608,Richard Sandberg,A5111305681,alias,I165779595
164,Rebecca Carey,A5110787636,alias,I129801699
32,Suzy Killmister,A5083617059,exact,I56590836
693,Jun Li,A5100601412,alias,I205640436
89,Xin Cao,A5053671029,alias,I31746571
2043,Karlheinz Peter,A5107405645,alias,I142471025
279,Chang Xu,A5100964559,exact,I129604602
374,Sebastian Duchene,A5107234544,exact,I165779595
1823,Sean Li,A5005935326,fuzzy,I31746571
1516,Michelle Hill,A5106033742,exact,I165143802
786,Yi Du,A5055715913,exact,I204824540
2204,Jie Zhang,A5100436868,alias,I56590836
1928,Farida Fozdar,A5087772044,alias,I177877127
949,Yit Heng Chooi,A5043215577,alias,I177877127
314,Andrew Zalesky,A5031170774,alias,I165779595
1614,James Bailey,A5101609697,alias,I165779595
1180,Julie Smith,A5051034534,alias,I118347636
115,Girish Lakhwani,A5069626817,alias,I129604602
1536,Gerhard Schenk,A5026257435,alias,I165143802
1866,Elizabeth Scarr,A5063663165,alias,I165779595
1266,Pilar Blancafort,A5022898788,exact,I177877127
249,Serena Dipierro,A5051228281,exact,I177877127
2143,Margaret Kelaher,A5084201756,alias,I165779595
2079,Ranjeny Thomas,A5060328058,alias,I165143802
1612,Gavin Conibeer,A5016304583,exact,I31746571
1717,Robyn Langdon,A5024711241,alias,I99043593
2074,Jean Yang,A5028524705,alias,I129604602
2105,Michael Bunce,A5085536018,exact,I205640436
50,Hamid Laga,A5002077138,alias,I176790772
1410,Timothy Baldwin,A5060332228,alias,I165779595
1774,Guoxiu Wang,A5007273016,exact,I114017466
1376,Dayong Jin,A5100633582,exact,I114017466
513,Kathryn Allen,A5072517470,alias,I129801699
17,Maxim Goryachev,A5106084715,alias,I177877127
1429,Orsola De Marco,A5057362556,exact,I99043593
775,Melissa Merritt,A5034206120,exact,I31746571
327,Lei Ge,A5041714665,alias,I185523456
621,Yang Song,A5041567418,alias,I31746571
1054,Ian Hardy,A5078309034,alias,I165143802
845,Chuan Zhao,A5050731758,alias,I31746571
310,Loic Yengo,A5025712490,alias,I165143802
2088,Ba-Ngu Vo,A5072792589,alias,I205640436
534,Bin Luo,A5075000300,alias,I165143802
123,Jun Li,A5100362062,alias,I114017466
1311,Gabriel da Silva,A5004403965,exact,I165779595
299,Luis Pedro Coelho,A5078114370,exact,I160993911
218,Ling Chen,A5100411139,exact,I114017466
2073,Brett Garner,A5030922535,alias,I204824540
839,Kosala Ranathunge,A5016087814,alias,I177877127
1090,Dennis Stello,A5031187863,alias,I31746571
285,Zihua Guo,A5014535747,exact,I56590836
909,Kavan Modi,A5053776631,alias,I56590836
90,Zengxia Pei,A5060068223,alias,I129604602
1176,Ajay Narendra,A5027429235,exact,I99043593
627,Lisa Ford,A5073093675,alias,I31746571
1084,Arkady Fedorov,A5084198938,exact,I165143802
457,Carol Farbotko,A5006505407,alias,I11701301
2008,Zongping Shao,A5101927500,exact,I205640436
2193,Xuchuan Jiang,A5102723597,exact,I56590836
1145,Emma Baker,A5015318736,alias,I5681781
1796,Gyorgy Hutvagner,A5012268284,exact,I114017466
268,Daniel Tubbenhauer,A5016692246,alias,I129604602
321,Amanda Harris,A5027481123,exact,I129604602
231,Yi Liu,A5100694930,alias,I31746571
643,Renee Jeffery,A5020786862,alias,I11701301
572,Neeraj Sharma,A5100437499,alias,I31746571
2000,Jian Li,A5100726736,alias,I56590836
478,Sally Potter,A5043031610,exact,I99043593
111,Martijn Konings,A5109331747,alias,I129604602
1601,Rui Zhang,A5100422017,exact,I165779595
1233,Nicole Moore,A5057994629,alias,I31746571
1617,Mark Pelusi,A5103059231,exact,I129604602
573,Dan Liu,A5100326855,alias,I82951845
50,Hamid Laga,A5108135954,alias,I176790772
800,Hao Liu,A5101815591,alias,I114017466
1436,Hongxia Wang,A5036603992,alias,I160993911
554,Yinghui Tian,A5102758003,exact,I165779595
2008,Zongping Shao,A5105123203,alias,I205640436
1488,Simon Avenell,A5050138968,exact,I118347636
712,Luca Cortese,A5110971412,alias,I177877127
1039,Yusuke Yamauchi,A5109591227,alias,I165143802
1594,Patrick Baker,A5075830167,alias,I165779595
145,Hongyi Xu,A5031446445,exact,I118347636
621,Yang Song,A5083873109,exact,I31746571
2000,Jian Li,A5100402540,exact,I56590836
1834,Michael McCarthy,A5052568377,exact,I165779595
473,Rosalind Dixon,A5011901751,exact,I31746571
219,Tu'uhevaha Kaitu'u-Lino,A5108965242,exact,I165779595
612,Daniel Burgarth,A5112448306,alias,I99043593
32,Suzy Killmister,A5083617059,alias,I56590836
693,Jun Li,A5100601412,exact,I205640436
89,Xin Cao,A5053671029,exact,I31746571
2043,Karlheinz Peter,A5107405645,exact,I142471025
279,Chang Xu,A5100964559,alias,I129604602
374,Sebastian Duchene,A5107234544,alias,I165779595
1516,Michelle Hill,A5106033742,alias,I165143802
1021,Eric Thrane,A5088976307,alias,I56590836
239,Alistair Senior,A5030763843,alias,I129604602
1885,Sarah McNaughton,A5020936902,alias,I149704539
1927,Scott Croom,A5067344624,alias,I129604602
270,Julie Brown,A5065832832,alias,I31746571
1039,Yusuke Yamauchi,A5037509120,alias,I165143802
2112,Kim Bennell,A5014653008,alias,I165779595
335,Daniel Noble,A5028073300,fuzzy,I118347636
307,Igor Aharonovich,A5002213102,alias,I114017466
1748,Andrey Miroshnichenko,A5074616594,alias,I118347636
1086,Shanyong Wang,A5040781254,alias,I78757542
333,Vanessa Adams,A5109516973,exact,I129801699
2149,Chengzhong Yu,A5009277202,exact,I165143802
349,Margaret Young,A5091481095,alias,I165779595
411,Edgar Wong,A5009049591,alias,I31746571
329,Karen Charlton,A5009433771,alias,I204824540
1901,Andrew Hill,A5019296552,alias,I165779595
1308,Paolo Raiteri,A5071019558,exact,I205640436
887,Alison Lennon,A5031474857,exact,I31746571
293,James Coxon,A5089575082,alias,I56590836
1551,Philippe Caroff-Gaonac'h,A5015281781,alias,I118347636
2216,Peter Strutton,A5018218083,alias,I129801699
1025,Richard McDermid,A5049397643,alias,I99043593
2110,Kirill Alexandrov,A5060924890,exact,I165143802
1032,Mark Hinder,A5073013659,alias,I129801699
1320,Joanne Arciuli,A5045593543,alias,I129604602
1063,Paul Salmon,A5090048784,alias,I174025329
1479,John Paterson,A5070020447,alias,I90745801
1998,Anthony Kemp,A5051411866,alias,I177877127
1679,Lan Fu,A5054231666,alias,I118347636
134,Xiaoshan Lin,A5018068424,alias,I82951845
993,Firuz Zare,A5028349208,exact,I165143802
417,Natalie Hannan,A5062361099,alias,I165779595
815,David Bissell,A5059488256,exact,I165779595
2191,Damien Keating,A5035952377,alias,I169541294
1962,Neil Levy,A5051836354,exact,I242743682
1638,Kelly Smith,A5066369560,alias,I165143802
2022,John Alroy,A5016573003,alias,I99043593
594,Victoria Blair,A5057558608,alias,I56590836
1018,Frank Reith,A5037651436,exact,I5681781
1715,Lyndall Strazdins,A5086465892,exact,I118347636
1073,Lee Wong,A5040434089,alias,I56590836
1769,Richard Collins,A5090728820,alias,I31746571
1167,Robert Lanfear,A5037983874,exact,I118347636
2001,Barry Brook,A5023228317,alias,I5681781
1465,Leonie Heilbronn,A5036557857,alias,I5681781
118,Jianguang Fang,A5009826094,exact,I114017466
968,Allison Pettit,A5034604471,alias,I165143802
2116,Andre Luiten,A5038619093,alias,I5681781
947,Sang Hong Lee,A5100383483,alias,I170239107
1508,Nigel Marks,A5041750270,alias,I205640436
702,Michael Westaway,A5066308169,alias,I165143802
1445,Christopher Fogwill,A5045247167,alias,I31746571
904,Christina Schroeder,A5058339404,alias,I165143802
180,Jiefeng Hu,A5004758745,alias,I149672521
2128,Christine Hawkins,A5046373006,alias,I196829312
2,Douglas Brumley,A5045512307,alias,I165779595
122,Luke Glanville,A5076309050,exact,I118347636
1223,Mirella Dottori,A5011677289,alias,I204824540
1534,Katy Evans,A5033850826,alias,I205640436
1687,Elena Ostrovskaya,A5016575257,alias,I118347636
1538,Carl Spandler,A5007191033,alias,I86467917
1525,Andrei Lyamin,A5024468460,alias,I78757542
1326,Paul Baldock,A5029220305,alias,I136750679
1768,Michael Smith,A5050357458,alias,I165779595
948,Jessica Purcell,A5079308734,alias,I56590836
344,Ting Rei Tan,A5026904177,alias,I129604602
641,Tyler Neely,A5012152416,alias,I165143802
52,Wafa Johal,A5048175000,alias,I165779595
945,David Harvey,A5014621753,alias,I31746571
216,Jin Zhang,A5100660380,exact,I31746571
2126,Katryn Stacey,A5046551226,alias,I165143802
764,Ziqi Sun,A5029410439,exact,I160993911
479,Seth Lazar,A5062824333,exact,I118347636
1411,John Bamberg,A5038799614,exact,I177877127
1727,Anthony Henderson,A5072805397,exact,I129604602
1229,Wendy Rogers,A5047218195,alias,I99043593
419,Li Wei,A5100318462,alias,I129604602
1093,Michael Griffin,A5085160372,alias,I165779595
1048,Elena Marchetti,A5060764907,exact,I11701301
960,Berit Ebert,A5058669335,exact,I165779595
1587,Ehsan Arabzadeh,A5003622202,exact,I118347636
273,Dries Verstraete,A5046405453,exact,I129604602
604,Mark Hackett,A5060228610,alias,I205640436
497,Sarah Foster,A5078726327,alias,I82951845
337,Trevor Chong,A5001897613,alias,I56590836
674,Scott Findlay,A5021926088,alias,I56590836
706,Yvonne Wong,A5007044846,alias,I31746571
782,Danyang Wang,A5036298213,alias,I31746571
997,Elisabete da Cunha,A5079179941,alias,I177877127
231,Yi Liu,A5100330467,exact,I31746571
1079,Claudio Cazorla,A5087568082,exact,I31746571
2000,Jian Li,A5100402467,alias,I56590836
127,Danielle Harris,A5050485080,alias,I11701301
1156,Francesca Martin,A5102824113,alias,I165779595
871,Tarunabh Khaitan,A5011699495,alias,I165779595
351,Vincent Laurent,A5011143061,exact,I31746571
1583,Justin O'Brien,A5009867465,alias,I31746571
1549,Jenny Yingzi Wang,A5031528165,alias,I31746571
1285,Heloise Gibb,A5076815889,alias,I196829312
1953,Ashish Sharma,A5057629910,exact,I31746571
1306,Zi Huang,A5101178707,fuzzy,I165143802
1704,Hark Hoe Tan,A5104037782,alias,I118347636
2147,Victoria Haskins,A5036143156,exact,I78757542
410,Sally May,A5110871179,fuzzy,I5681781
765,Megan Maher,A5025793442,alias,I165779595
1407,Marcela Bilek,A5030787222,fuzzy,I129604602
218,Ling Chen,A5089448955,exact,I114017466
1055,Zhi-Yong Li,A5100382265,fuzzy,I160993911
1601,Rui Zhang,A5101750692,exact,I165779595
135,Andrew King,A5013139256,alias,I165779595
1810,Wesley Widmaier,A5033824215,alias,I11701301
439,Robert Weatheritt,A5031170324,alias,I31746571
1022,Simon Butt,A5030004590,alias,I129604602
919,Thom van Dooren,A5085821049,alias,I129604602
2140,Michael Thielscher,A5112711114,exact,I31746571
1791,John Hammond,A5016274906,alias,I177877127
1402,Rajkumar Buyya,A5001431280,exact,I165779595
2144,Yuesheng Li,A5101914943,alias,I217937681
1055,Zhi-Yong Li,A5100396726,alias,I160993911
1600,Tong Lin,A5100835131,alias,I149704539
818,Anders Eriksson,A5058055590,alias,I165143802
1513,Andrew Hogg,A5114142584,fuzzy,I118347636
1231,David Suggett,A5110060341,fuzzy,I114017466
2000,Jian Li,A5100402619,exact,I56590836
606,Da-Wei Wang,A5059976286,alias,I31746571
1768,Michael Smith,A5041403788,alias,I165779595
189,Chen Li,A5100369837,exact,I56590836
786,Yi Du,A5046925706,alias,I204824540
267,Iroise Dumontheil,A5031387197,exact,I165779595
160,Chris Greening,A5097726895,alias,I56590836
1495,Derek Abbott,A5001390355,exact,I5681781
2049,Hong-Yuan Liu,A5101610479,alias,I129604602
1199,Richard Holden,A5107989060,alias,I31746571
1749,Colin Clifford,A5112276846,exact,I31746571
1333,David Evans,A5024587900,exact,I165143802
1323,Clare Wright,A5053590617,exact,I196829312
1151,Hua Xia,A5108944890,alias,I118347636
758,Tatsuya Amano,A5107278595,alias,I165143802
419,Li Wei,A5100689770,alias,I129604602
30,Pengyi Yang,A5112637532,exact,I129604602
1425,Zheng Jiang,A5108005751,exact,I204824540
382,Phillip Baker,A5103058224,alias,I129604602
425,James Flexner,A5050660047,alias,I129604602
1972,Nathalie Nguyen,A5018613046,alias,I56590836
2000,Jian Li,A5100657728,alias,I56590836
231,Yi Liu,A5100330533,exact,I31746571
991,Paola Escudero,A5113837883,exact,I63525965
1825,Elaine Wong,A5102490973,alias,I165779595
419,Li Wei,A5100318098,alias,I129604602
2000,Jian Li,A5100402430,alias,I56590836
1231,David Suggett,A5013105635,fuzzy,I114017466
377,Daoyi Dong,A5000582423,alias,I114017466
529,Stephen Moggach,A5023823354,fuzzy,I177877127
369,Jun Huang,A5101697669,exact,I129604602
1379,Weihua Liu,A5031637834,alias,I1292875679
1882,Maria Lugaro,A5103884089,alias,I56590836
1448,Kai Schulz,A5104097955,fuzzy,I66809481
2167,David Whiteman,A5103595445,alias,I217937681
1601,Rui Zhang,A5101812272,exact,I165779595
1076,Giang Nguyen,A5101819865,alias,I5681781
1414,Andrew Berry,A5103100013,alias,I118347636
1000,Zaiping Guo,A5108132966,exact,I204824540
270,Julie Brown,A5065832832,exact,I31746571
1039,Yusuke Yamauchi,A5037509120,exact,I165143802
307,Igor Aharonovich,A5002213102,exact,I114017466
1086,Shanyong Wang,A5040781254,exact,I78757542
333,Vanessa Adams,A5109516973,alias,I129801699
2149,Chengzhong Yu,A5009277202,alias,I165143802
329,Karen Charlton,A5009433771,exact,I204824540
1308,Paolo Raiteri,A5071019558,alias,I205640436
887,Alison Lennon,A5031474857,alias,I31746571
2110,Kirill Alexandrov,A5060924890,alias,I165143802
1320,Joanne Arciuli,A5045593543,exact,I129604602
1679,Lan Fu,A5054231666,exact,I118347636
134,Xiaoshan Lin,A5018068424,exact,I82951845
993,Firuz Zare,A5028349208,alias,I165143802
815,David Bissell,A5059488256,alias,I165779595
1962,Neil Levy,A5051836354,alias,I242743682
2022,John Alroy,A5016573003,exact,I99043593
1018,Frank Reith,A5037651436,alias,I5681781
1715,Lyndall Strazdins,A5086465892,alias,I118347636
1167,Robert Lanfear,A5037983874,alias,I118347636
118,Jianguang Fang,A5009826094,alias,I114017466
180,Jiefeng Hu,A5004758745,exact,I149672521
122,Luke Glanville,A5076309050,alias,I118347636
1223,Mirella Dottori,A5011677289,exact,I204824540
1534,Katy Evans,A5033850826,exact,I205640436
1538,Carl Spandler,A5007191033,exact,I86467917
52,Wafa Johal,A5048175000,exact,I165779595
945,David Harvey,A5014621753,exact,I31746571
216,Jin Zhang,A5100660380,alias,I31746571
764,Ziqi Sun,A5029410439,alias,I160993911
479,Seth Lazar,A5062824333,alias,I118347636
1411,John Bamberg,A5038799614,alias,I177877127
1727,Anthony Henderson,A5072805397,alias,I129604602
1229,Wendy Rogers,A5047218195,exact,I99043593
1048,Elena Marchetti,A5060764907,alias,I11701301
960,Berit Ebert,A5058669335,alias,I165779595
1587,Ehsan Arabzadeh,A5003622202,alias,I118347636
273,Dries Verstraete,A5046405453,alias,I129604602
497,Sarah Foster,A5078726327,exact,I82951845
782,Danyang Wang,A5036298213,exact,I31746571
997,Elisabete da Cunha,A5079179941,exact,I177877127
231,Yi Liu,A5100330467,alias,I31746571
1079,Claudio Cazorla,A5087568082,alias,I31746571
2000,Jian Li,A5100402467,exact,I56590836
871,Tarunabh Khaitan,A5011699495,exact,I165779595
351,Vincent Laurent,A5011143061,alias,I31746571
1285,Heloise Gibb,A5076815889,exact,I196829312
1953,Ashish Sharma,A5057629910,alias,I31746571
1704,Hark Hoe Tan,A5104037782,exact,I118347636
2147,Victoria Haskins,A5036143156,alias,I78757542
218,Ling Chen,A5089448955,alias,I114017466
1601,Rui Zhang,A5101750692,alias,I165779595
135,Andrew King,A5013139256,exact,I165779595
1022,Simon Butt,A5030004590,exact,I129604602
919,Thom van Dooren,A5085821049,exact,I129604602
2140,Michael Thielscher,A5112711114,alias,I31746571
1402,Rajkumar Buyya,A5001431280,alias,I165779595
2144,Yuesheng Li,A5101914943,exact,I217937681
1600,Tong Lin,A5100835131,exact,I149704539
2000,Jian Li,A5100402619,alias,I56590836
189,Chen Li,A5100369837,alias,I56590836
267,Iroise Dumontheil,A5031387197,alias,I165779595
1495,Derek Abbott,A5001390355,alias,I5681781
1749,Colin Clifford,A5112276846,alias,I31746571
1333,David Evans,A5024587900,alias,I165143802
1323,Clare Wright,A5053590617,alias,I196829312
30,Pengyi Yang,A5112637532,alias,I129604602
1425,Zheng Jiang,A5108005751,alias,I204824540
2000,Jian Li,A5100657728,exact,I56590836
231,Yi Liu,A5100330533,alias,I31746571
991,Paola Escudero,A5113837883,alias,I63525965
1825,Elaine Wong,A5102490973,exact,I165779595
2000,Jian Li,A5100402430,exact,I56590836
377,Daoyi Dong,A5000582423,exact,I114017466
369,Jun Huang,A5101697669,alias,I129604602
1379,Weihua Liu,A5031637834,exact,I1292875679
1882,Maria Lugaro,A5103884089,exact,I56590836
1601,Rui Zhang,A5101812272,alias,I165779595
1414,Andrew Berry,A5103100013,exact,I118347636
1000,Zaiping Guo,A5108132966,alias,I204824540
1562,Bruce Yabsley,A5075323817,alias,I129604602
834,Helen Watt,A5088564723,alias,I129604602
1625,John Canning,A5037901723,alias,I129604602
734,Julia Bryant,A5076314144,alias,I129604602
1327,Chenghua Sun,A5058308419,exact,I57093077
248,Min Hong,A5091024708,alias,I185523456
1195,Michael Shields,A5039052555,alias,I56590836
2208,Pathegama Ranjith,A5053961001,alias,I56590836
1060,Mark Kelly,A5103089041,alias,I63525965
541,Ke Meng,A5058006896,alias,I31746571
1836,Nicholas Seymour,A5035042727,alias,I205640436
2178,Dragan Nesic,A5035230630,exact,I165779595
716,Philip Brewer,A5071220342,alias,I5681781
1276,Nigel Jones,A5028913352,alias,I56590836
359,Annan Zhou,A5056380462,exact,I82951845
1672,Adam Hill,A5060826983,alias,I19514445
1467,Scott Brown,A5074709577,alias,I78757542
1830,Ian Wright,A5028139677,alias,I99043593
