rid,aus_name,authorid,match_type,host_id
106,Georgios Konstantinou,A5069417209,alias,I31746571
749,Qiang Fu,A5088254630,alias,I114017466
431,Ajmal Mian,A5089986388,alias,I177877127
845,Chuan Zhao,A5046268649,exact,I31746571
1426,Michael Piper,A5086214764,alias,I165143802
2133,Willy Susilo,A5054741725,exact,I204824540
1633,Lachlan Coin,A5056039026,exact,I165143802
1559,Yonghui Li,A5100448724,alias,I129604602
1952,Enzo Lombi,A5072201127,exact,I170239107
501,Jennifer Atchison,A5060171663,alias,I204824540
449,Natasha Fijn,A5042143317,alias,I118347636
1306,Zi Huang,A5078170935,alias,I165143802
1707,Heath Ecroyd,A5083304343,alias,I204824540
1518,Nicolas Cherbuin,A5002065453,alias,I118347636
2108,Kristy Sanderson,A5035840968,exact,I129801699
2060,Vanessa Venturi,A5019891961,alias,I31746571
1440,Stuart Bedford,A5058468175,alias,I118347636
99,Katharine Turner,A5075245013,alias,I118347636
51,Barbara Barbosa Neves,A5043528816,exact,I129604602
1469,Melissa Call,A5045635110,alias,I196021976
2008,Zongping Shao,A5034744923,alias,I205640436
1656,Philip de Chazal,A5078054483,alias,I129604602
911,Katie Leach,A5075216835,exact,I56590836
518,Daniel Ortiz-Barrientos,A5005372623,alias,I165143802
183,Tanya Latty,A5051345411,exact,I129604602
432,Yuning Hong,A5005359088,alias,I196829312
1663,Ben Saul,A5047825662,alias,I129604602
1615,Boris Baer,A5058282030,alias,I177877127
966,Mark Paskevicius,A5030050794,exact,I205640436
788,Laurie Menviel,A5049584223,exact,I31746571
1155,Oliver Nebel,A5073128359,exact,I56590836
109,Vi Khanh Truong,A5016100426,exact,I169541294
1910,Matthew Rimmer,A5020616444,exact,I118347636
1613,Sarah Holcombe,A5078923245,alias,I118347636
1713,Cordelia Fine,A5029372639,alias,I165779595
1332,Zhongfan Jia,A5014010460,alias,I165143802
1304,Dean Rickles,A5035908423,alias,I129604602
2049,Hong-Yuan Liu,A5107942136,alias,I129604602
2144,Yuesheng Li,A5107856253,exact,I217937681
1601,Rui Zhang,A5100422095,exact,I165779595
854,Kristie Miller,A5070749405,alias,I129604602
364,Bing Sun,A5019152038,alias,I114017466
1022,Simon Butt,A5113460872,exact,I129604602
1792,Trent Woodruff,A5012726679,alias,I165143802
1349,Alexander Idnurm,A5070444328,exact,I165779595
1221,Katja Fischer,A5012644402,exact,I217937681
328,Wengui Li,A5027220120,exact,I31746571
1997,Baolin Wang,A5100648294,alias,I63525965
