rid,eu_name,authorid,match_type,host_id,source
2181,Edvardas Narevicius,A5009082239,exact,,name_unique
2182,Sylvie Roke,A5007873537,exact,,name_unique
2183,Dominik Munz,A5059734226,exact,,name_unique
2184,Anat Milo,A5052386381,exact,I124227911,round2_inst
2185,Julián Bergueiro Álvarez,A5091109896,alias,I200284239,round2_inst
2186,Lutz Greb,A5000849314,exact,,name_unique
2187,Benjamin Palmer,A5012095025,exact,,round4_semtie
2188,Fernanda Duarte,A5080148464,exact,I40120149,round2_inst
2189,Guilhem Chaubet,A5064814898,exact,,name_unique
2190,Rebecca Melen,A5005757075,alias,I79510175,round2_inst
2191,Malte Gersch,A5077133303,exact,,name_unique
2192,Robert Kretschmer,A5049289405,exact,I2610724,round2_inst
2193,Jesús Campos,A5015045788,exact,I134820265,round2_inst
2194,Aurelien De La Torre,A5003652452,exact,,name_unique
2195,Seraphine Wegner,A5064508388,alias,I22465464,round2_inst
2196,Lars Borchardt,A5071419158,exact,,name_unique
2197,Stephen Wallace,A5102092394,exact,,round3_semantic
2198,César Rodriguez-Emmenegger,A5020329666,exact,I4210147769,round2_inst
2199,Lutz Nuhn,A5034323485,exact,,name_unique
2200,Matthew Langton,A5088074740,alias,I40120149,round2_inst
2201,Guillaume Lefèvre,A5021299818,exact,I1294671590,round3_semantic
2202,Ruth Pérez Fernández,A5027704086,exact,I134820265,round2_inst
2203,Nir London,A5044428734,exact,,name_unique
2204,Wolfgang Zeier,A5052900478,alias,I22465464,round2_inst
2205,Milena Patricia Arciniegas,A5089113398,fuzzy,I30771326,round2_inst
2206,Anis Tlili,A5031284484,exact,,name_unique
2207,Diego Marcelo Andrada,A5039534982,alias,I91712215,round2_inst
2208,Karl Mandel,A5059156002,exact,,name_unique
2210,Kim Bonger,A5000191127,exact,,name_unique
2211,Job Boekhoven,A5012135288,exact,I62916508,round2_inst
2212,Fabian Pfrengle,A5020693561,exact,I92869138,round2_inst
2213,Daniele Leonori,A5050256902,exact,,name_unique
2214,Viktoria Daeschlein-Gessner,A5054638656,fuzzy,,round3_semantic
2215,Leopoldo Molina-Luna,A5011754505,exact,,name_unique
2216,Graham De Ruiter,A5002354165,exact,,name_unique
2217,Laura Hartmann,A5073720658,exact,I161046081,round3_semantic
2218,Pedro Leão,A5029853756,exact,,round4_maxpapers
2220,Birgit Esser,A5054566288,exact,I196349391,round2_inst
2221,Carlos Romero Nieto,A5031925331,exact,,name_unique
2222,Fabien Cougnon,A5057552942,alias,I94722563,round2_inst
2223,François Guérard,A5013200742,exact,I1294671590,round3_semantic
2224,Thomas Hermans,A5102390455,exact,,round3_semantic
2225,Amnon Bar-Shir,A5017040501,exact,,name_unique
2226,Maria Escudero Escribano,A5011008334,exact,I4210093216,round2_inst
2227,Guillaume Berionni,A5067185409,exact,,name_unique
2228,Filipe Natalio,A5080127326,exact,,name_unique
2229,Anton Kuzyk,A5024329973,exact,,name_unique
2230,Timothy Noel,A5058411581,exact,,name_unique
2231,Erik Garnett,A5033885236,alias,,round3_semantic
2232,Carlos Marti-Gastaldo,A5087632293,exact,,name_unique
2233,Dawid Pinkowicz,A5067823437,exact,,name_unique
2234,Jiayin Yuan,A5045716658,exact,I161593684,round2_inst
2235,Gregory Nocton,A5049206649,exact,,name_unique
2236,Philipp Heretsch,A5045730028,exact,,name_unique
2237,Daniela Wilson,A5042895917,alias,I145872427,round2_inst
2238,Shigeyoshi Inoue,A5067961961,exact,I62916508,round2_inst
2239,Pavlo Mykhailiuk,A5042360757,exact,,name_unique
2240,Joris Henricus Bernardus Sprakel,A5007899176,fuzzy,I913481162,round2_inst
2241,Tanja Gaich,A5076329931,exact,,name_unique
2242,Thomas Magauer,A5062792519,exact,,name_unique
2243,Mark Crimmin,A5034836508,alias,I47508984,round2_inst
2244,Andreas Jean Leopold Walther,A5060067635,fuzzy,I197323543,round3_semantic
2245,Joseph Moran,A5090399192,exact,I4210143995,round2_inst
2246,Kasper Moth-Poulsen,A5012584282,exact,,round4_semtie
2247,Henry Dube,A5042562320,exact,I181369854,round2_inst
2248,Mauri Kostiainen,A5026210883,alias,I9927081,round2_inst
2249,Ilja Voets,A5067632981,alias,I83019370,round2_inst
2250,Mariola Tortosa Manzanares,A5079280977,exact,,name_unique
2251,Carsten Streb,A5080329256,exact,,name_unique
2252,Paolo Arosio,A5001560379,exact,I35440088,round4_semtie
2253,Christof Sparr,A5008910219,exact,,name_unique
2254,Jan Deska,A5004019879,exact,,name_unique
2255,Laura Fabris,A5058963090,exact,I177477856,round3_semantic
2256,Martín Fañanás-Mastral,A5024147412,exact,I200284239,round3_semantic
2257,Thomas Boettcher,A5107146339,exact,I129774422,round2_inst
2258,Katharina Schröder,A5113031233,exact,,round3_semantic
